pointid,grid_code,POINT_X,POINT_Y
1,206,-120.017764897,41.1721444026
4,206,-120.169579557,40.1072927486
5,206,-120.044052425,39.9562182122
6,206,-121.401983729,39.1380209946
8,206,-122.046261917,38.8158364686
9,206,-121.308197195,38.9109585822
10,206,-121.507555722,38.8671494715
16,206,-121.511002227,38.7556615888
21,206,-121.361486187,38.7538509851
26,206,-121.558422672,38.6470727183
28,206,-121.769846647,38.5987066375
55,206,-121.615401314,38.5333480879
64,206,-121.340857685,38.5800534306
74,206,-121.607512712,38.4389531518
77,206,-121.481280801,38.462440453
81,206,-121.161877987,38.503569465
87,206,-121.276184152,38.4258058635
91,206,-121.849253623,38.2749205251
97,206,-121.653540518,38.2641791116
99,206,-121.361889593,38.3084220528
100,206,-120.517642197,38.4195267745
103,206,-119.475424376,38.551645111
107,206,-121.385384514,38.1314091133
109,206,-121.249216084,38.1077624806
111,206,-121.746379581,37.9475969072
112,206,-121.371668484,37.9495083521
113,206,-121.127466453,37.9539563995
139,206,-121.23787777,37.8765951526
146,206,-120.884936971,37.9245873435
152,206,-121.148531701,37.7687128961
153,206,-120.855404138,37.8212820587
154,206,-121.264318683,37.7289648107
166,206,-121.113152844,37.6771747149
175,206,-120.526288872,37.7495074801
177,206,-120.913494977,37.6550782749
179,206,-120.766726583,37.6529950816
180,206,-121.04587823,37.5876504297
203,206,-120.862082895,37.57160519
215,206,-120.61503427,37.6080014433
234,206,-120.720531112,37.5468046471
241,206,-121.067090568,37.4631198195
298,206,-120.896348132,37.4491452264
350,206,-120.737925079,37.445952976
412,206,-120.481885449,37.4690758252
447,206,-121.03382263,37.3450934444
515,206,-120.849810556,37.3452739799
550,206,-120.679232845,37.3628784355
628,206,-121.029460079,37.2511886833
700,206,-120.410591011,37.3633378499
754,206,-120.802372246,37.247693156
755,206,-120.629215754,37.275782384
756,206,-120.258112827,37.3481035116
762,206,-120.94792373,37.1680443777
769,206,-121.568267464,37.0300851226
770,206,-119.765261236,37.4034669752
1708,206,-120.720561782,37.1711562142
1867,206,-120.284600379,37.2400346764
1912,206,-120.54180142,37.1820461259
2605,206,-120.839387467,37.093053947
2903,206,-121.110535156,37.014631658
2945,206,-121.566119588,36.8950165127
2947,206,-120.652151393,37.0815542121
2956,206,-120.452404028,37.1006031751
2973,206,-120.767640179,37.01362282
3029,206,-120.252454639,37.0925038151
3067,206,-120.110698969,37.0896631213
3072,206,-120.565180662,36.9780830912
3073,206,-120.3551775,36.9950052855
3085,206,-120.707180832,36.9212858787
3116,206,-121.712602831,36.7041458327
3136,206,-119.98250737,37.0164466961
3140,206,-120.159291332,36.9704827277
3143,206,-120.460365625,36.8982329358
3157,206,-120.334365466,36.8943984274
3159,206,-121.528918145,36.6361924564
3196,206,-120.192853528,36.8540525092
3201,206,-119.972963662,36.895064831
3217,206,-120.333602448,36.7990656182
3218,206,-119.820954689,36.9023350764
3240,206,-121.442186033,36.5370200669
3321,206,-119.63666966,36.8713931362
3327,206,-120.18697057,36.7490149264
3334,206,-120.359383093,36.6971280911
3336,206,-119.894361681,36.7874254859
3349,206,-120.014058013,36.7570114176
3351,206,-120.54034862,36.645096076
