Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
-120.017764897,41.1721444026,104.0,116,32,8215.0,314.0,-46.0,360.0,9.0,228.0,228.0,-1.0,199.0,24.0,5.0,38.0,71.0,17.0,17.0,71.0,1
-120.169579557,40.1072927486,113.0,121,33,8008.0,318.0,-41.0,360.0,9.0,232.0,232.0,9.0,264.0,47.0,5.0,59.0,134.0,17.0,17.0,134.0,1
-120.044052425,39.9562182122,95.0,122,34,7902.0,298.0,-59.0,357.0,-7.0,212.0,212.0,-7.0,286.0,53.0,6.0,61.0,150.0,19.0,19.0,150.0,1
-121.401983729,39.1380209946,179.0,123,38,6535.0,362.0,46.0,316.0,93.0,272.0,272.0,93.0,707.0,141.0,1.0,84.0,401.0,5.0,5.0,401.0,1
-122.046261917,38.8158364686,165.0,120,41,5716.0,331.0,41.0,290.0,88.0,244.0,244.0,88.0,501.0,112.0,1.0,94.0,319.0,5.0,5.0,319.0,1
-121.308197195,38.9109585822,179.0,123,39,6282.0,356.0,47.0,309.0,95.0,267.0,267.0,95.0,632.0,128.0,1.0,84.0,364.0,5.0,5.0,364.0,1
-121.507555722,38.8671494715,178.0,123,40,6107.0,353.0,49.0,304.0,96.0,263.0,263.0,96.0,518.0,108.0,1.0,86.0,307.0,4.0,4.0,307.0,1
-121.511002227,38.7556615888,178.0,123,40,5999.0,350.0,49.0,301.0,97.0,261.0,261.0,97.0,495.0,102.0,1.0,86.0,291.0,4.0,4.0,291.0,1
-121.361486187,38.7538509851,178.0,123,40,6104.0,352.0,48.0,304.0,96.0,263.0,263.0,96.0,553.0,114.0,1.0,85.0,323.0,5.0,5.0,323.0,1
-121.558422672,38.6470727183,176.0,122,41,5802.0,344.0,49.0,295.0,97.0,255.0,255.0,97.0,460.0,96.0,1.0,87.0,273.0,3.0,3.0,273.0,1
-121.769846647,38.5987066375,172.0,120,41,5591.0,335.0,48.0,287.0,95.0,248.0,248.0,95.0,465.0,100.0,0.0,90.0,282.0,2.0,2.0,282.0,1
-121.615401314,38.5333480879,173.0,121,42,5595.0,338.0,49.0,288.0,97.0,250.0,250.0,97.0,444.0,94.0,1.0,88.0,265.0,3.0,3.0,265.0,1
-121.340857685,38.5800534306,177.0,123,41,5855.0,346.0,49.0,297.0,97.0,258.0,258.0,97.0,484.0,99.0,1.0,85.0,281.0,5.0,5.0,281.0,1
-121.607512712,38.4389531518,172.0,121,42,5478.0,334.0,49.0,285.0,97.0,247.0,247.0,97.0,440.0,93.0,1.0,88.0,263.0,3.0,3.0,263.0,1
-121.481280801,38.462440453,175.0,122,42,5646.0,340.0,49.0,290.0,98.0,252.0,252.0,98.0,445.0,92.0,1.0,87.0,261.0,3.0,3.0,261.0,1
-121.161877987,38.503569465,178.0,123,40,5989.0,350.0,49.0,301.0,98.0,262.0,262.0,98.0,559.0,115.0,1.0,85.0,329.0,5.0,5.0,329.0,1
-121.276184152,38.4258058635,176.0,123,41,5781.0,344.0,49.0,295.0,98.0,257.0,257.0,98.0,493.0,101.0,1.0,86.0,288.0,3.0,3.0,288.0,1
-121.849253623,38.2749205251,166.0,115,43,4969.0,314.0,50.0,264.0,96.0,232.0,232.0,96.0,475.0,103.0,0.0,90.0,290.0,2.0,2.0,290.0,1
-121.653540518,38.2641791116,169.0,119,43,5194.0,324.0,49.0,275.0,97.0,240.0,240.0,97.0,429.0,90.0,1.0,88.0,256.0,3.0,3.0,256.0,1
-121.361889593,38.3084220528,175.0,122,42,5553.0,338.0,50.0,288.0,99.0,251.0,251.0,99.0,450.0,92.0,1.0,86.0,261.0,3.0,3.0,261.0,1
-120.517642197,38.4195267745,134.0,122,39,6382.0,312.0,0.0,311.0,51.0,227.0,227.0,51.0,1060.0,216.0,3.0,83.0,614.0,12.0,12.0,614.0,1
-119.475424376,38.551645111,107.0,122,34,7694.0,302.0,-47.0,349.0,9.0,216.0,222.0,9.0,275.0,47.0,8.0,58.0,132.0,25.0,25.0,132.0,1
-121.385384514,38.1314091133,172.0,121,43,5303.0,330.0,50.0,280.0,99.0,244.0,244.0,99.0,412.0,83.0,1.0,85.0,235.0,3.0,3.0,235.0,1
-121.249216084,38.1077624806,174.0,122,42,5447.0,335.0,50.0,285.0,99.0,249.0,249.0,99.0,421.0,84.0,1.0,85.0,239.0,3.0,3.0,239.0,1
-121.746379581,37.9475969072,161.0,112,44,4593.0,301.0,49.0,251.0,96.0,222.0,222.0,96.0,347.0,75.0,1.0,90.0,215.0,3.0,3.0,215.0,1
-121.371668484,37.9495083521,170.0,120,43,5100.0,324.0,50.0,274.0,99.0,239.0,239.0,99.0,348.0,70.0,1.0,84.0,196.0,3.0,3.0,196.0,1
-121.127466453,37.9539563995,174.0,122,43,5371.0,333.0,50.0,283.0,100.0,248.0,248.0,100.0,360.0,70.0,1.0,83.0,200.0,3.0,3.0,200.0,1
-121.23787777,37.8765951526,172.0,121,43,5219.0,328.0,50.0,278.0,100.0,243.0,243.0,100.0,336.0,66.0,1.0,83.0,186.0,3.0,3.0,186.0,1
-120.884936971,37.9245873435,177.0,123,41,5686.0,343.0,49.0,293.0,100.0,254.0,257.0,100.0,428.0,83.0,1.0,83.0,238.0,5.0,5.0,238.0,1
-121.148531701,37.7687128961,172.0,122,43,5208.0,328.0,50.0,278.0,100.0,243.0,243.0,100.0,325.0,61.0,1.0,81.0,173.0,3.0,3.0,173.0,1
-120.855404138,37.8212820587,177.0,123,42,5633.0,341.0,49.0,292.0,101.0,250.0,255.0,101.0,404.0,77.0,1.0,83.0,220.0,5.0,5.0,220.0,1
-121.264318683,37.7289648107,169.0,120,44,4987.0,321.0,50.0,270.0,100.0,236.0,237.0,100.0,308.0,59.0,1.0,82.0,166.0,3.0,3.0,166.0,1
-121.113152844,37.6771747149,172.0,122,43,5191.0,328.0,50.0,278.0,101.0,243.0,243.0,101.0,319.0,59.0,1.0,82.0,167.0,3.0,3.0,167.0,1
-120.526288872,37.7495074801,180.0,124,40,5983.0,351.0,49.0,302.0,101.0,266.0,266.0,101.0,517.0,100.0,1.0,84.0,286.0,5.0,5.0,286.0,1
-120.913494977,37.6550782749,176.0,124,42,5456.0,338.0,50.0,288.0,102.0,246.0,252.0,102.0,342.0,65.0,1.0,83.0,184.0,4.0,5.0,184.0,1
-120.766726583,37.6529950816,178.0,124,42,5622.0,343.0,50.0,293.0,102.0,251.0,257.0,102.0,371.0,72.0,1.0,83.0,203.0,5.0,5.0,203.0,1
-121.04587823,37.5876504297,172.0,122,43,5186.0,329.0,50.0,279.0,108.0,239.0,244.0,101.0,319.0,59.0,1.0,82.0,166.0,4.0,5.0,165.0,1
-120.862082895,37.57160519,176.0,124,43,5457.0,338.0,50.0,288.0,102.0,247.0,252.0,102.0,336.0,64.0,1.0,83.0,180.0,4.0,5.0,180.0,1
-120.61503427,37.6080014433,180.0,125,41,5805.0,349.0,50.0,298.0,102.0,261.0,262.0,102.0,417.0,82.0,1.0,85.0,235.0,3.0,3.0,235.0,1
-120.720531112,37.5468046471,178.0,125,42,5623.0,343.0,50.0,293.0,102.0,251.0,257.0,102.0,359.0,68.0,1.0,83.0,192.0,4.0,5.0,192.0,1
-121.067090568,37.4631198195,172.0,122,44,5099.0,326.0,50.0,276.0,113.0,237.0,242.0,101.0,303.0,57.0,1.0,83.0,162.0,4.0,5.0,160.0,1
-120.896348132,37.4491452264,175.0,124,43,5327.0,335.0,50.0,285.0,114.0,244.0,249.0,102.0,309.0,59.0,1.0,82.0,164.0,4.0,5.0,163.0,1
-120.737925079,37.445952976,178.0,125,42,5559.0,342.0,50.0,292.0,103.0,256.0,256.0,103.0,325.0,63.0,1.0,84.0,177.0,3.0,3.0,177.0,1
-120.481885449,37.4690758252,182.0,125,41,5885.0,352.0,51.0,300.0,104.0,266.0,266.0,104.0,394.0,73.0,1.0,83.0,212.0,3.0,3.0,212.0,1
