Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-120.017764897,41.1721444026,104,116,32,8215,314,-46,360,9,228,228,-1,199,24,5,38,71,17,17,71
-120.169579557,40.1072927486,113,121,33,8008,318,-41,360,9,232,232,9,264,47,5,59,134,17,17,134
-120.044052425,39.9562182122,95,122,34,7902,298,-59,357,-7,212,212,-7,286,53,6,61,150,19,19,150
-121.401983729,39.1380209946,179,123,38,6535,362,46,316,93,272,272,93,707,141,1,84,401,5,5,401
-122.046261917,38.8158364686,165,120,41,5716,331,41,290,88,244,244,88,501,112,1,94,319,5,5,319
-121.308197195,38.9109585822,179,123,39,6282,356,47,309,95,267,267,95,632,128,1,84,364,5,5,364
-121.507555722,38.8671494715,178,123,40,6107,353,49,304,96,263,263,96,518,108,1,86,307,4,4,307
-121.511002227,38.7556615888,178,123,40,5999,350,49,301,97,261,261,97,495,102,1,86,291,4,4,291
-121.361486187,38.7538509851,178,123,40,6104,352,48,304,96,263,263,96,553,114,1,85,323,5,5,323
-121.558422672,38.6470727183,176,122,41,5802,344,49,295,97,255,255,97,460,96,1,87,273,3,3,273
-121.769846647,38.5987066375,172,120,41,5591,335,48,287,95,248,248,95,465,100,0,90,282,2,2,282
-121.615401314,38.5333480879,173,121,42,5595,338,49,288,97,250,250,97,444,94,1,88,265,3,3,265
-121.340857685,38.5800534306,177,123,41,5855,346,49,297,97,258,258,97,484,99,1,85,281,5,5,281
-121.607512712,38.4389531518,172,121,42,5478,334,49,285,97,247,247,97,440,93,1,88,263,3,3,263
-121.481280801,38.462440453,175,122,42,5646,340,49,290,98,252,252,98,445,92,1,87,261,3,3,261
-121.161877987,38.503569465,178,123,40,5989,350,49,301,98,262,262,98,559,115,1,85,329,5,5,329
-121.276184152,38.4258058635,176,123,41,5781,344,49,295,98,257,257,98,493,101,1,86,288,3,3,288
-121.849253623,38.2749205251,166,115,43,4969,314,50,264,96,232,232,96,475,103,0,90,290,2,2,290
-121.653540518,38.2641791116,169,119,43,5194,324,49,275,97,240,240,97,429,90,1,88,256,3,3,256
-121.361889593,38.3084220528,175,122,42,5553,338,50,288,99,251,251,99,450,92,1,86,261,3,3,261
-120.517642197,38.4195267745,134,122,39,6382,312,0,311,51,227,227,51,1060,216,3,83,614,12,12,614
-119.475424376,38.551645111,107,122,34,7694,302,-47,349,9,216,222,9,275,47,8,58,132,25,25,132
-121.385384514,38.1314091133,172,121,43,5303,330,50,280,99,244,244,99,412,83,1,85,235,3,3,235
-121.249216084,38.1077624806,174,122,42,5447,335,50,285,99,249,249,99,421,84,1,85,239,3,3,239
-121.746379581,37.9475969072,161,112,44,4593,301,49,251,96,222,222,96,347,75,1,90,215,3,3,215
-121.371668484,37.9495083521,170,120,43,5100,324,50,274,99,239,239,99,348,70,1,84,196,3,3,196
-121.127466453,37.9539563995,174,122,43,5371,333,50,283,100,248,248,100,360,70,1,83,200,3,3,200
-121.23787777,37.8765951526,172,121,43,5219,328,50,278,100,243,243,100,336,66,1,83,186,3,3,186
-120.884936971,37.9245873435,177,123,41,5686,343,49,293,100,254,257,100,428,83,1,83,238,5,5,238
-121.148531701,37.7687128961,172,122,43,5208,328,50,278,100,243,243,100,325,61,1,81,173,3,3,173
-120.855404138,37.8212820587,177,123,42,5633,341,49,292,101,250,255,101,404,77,1,83,220,5,5,220
-121.264318683,37.7289648107,169,120,44,4987,321,50,270,100,236,237,100,308,59,1,82,166,3,3,166
-121.113152844,37.6771747149,172,122,43,5191,328,50,278,101,243,243,101,319,59,1,82,167,3,3,167
-120.526288872,37.7495074801,180,124,40,5983,351,49,302,101,266,266,101,517,100,1,84,286,5,5,286
-120.913494977,37.6550782749,176,124,42,5456,338,50,288,102,246,252,102,342,65,1,83,184,4,5,184
-120.766726583,37.6529950816,178,124,42,5622,343,50,293,102,251,257,102,371,72,1,83,203,5,5,203
-121.04587823,37.5876504297,172,122,43,5186,329,50,279,108,239,244,101,319,59,1,82,166,4,5,165
-120.862082895,37.57160519,176,124,43,5457,338,50,288,102,247,252,102,336,64,1,83,180,4,5,180
-120.61503427,37.6080014433,180,125,41,5805,349,50,298,102,261,262,102,417,82,1,85,235,3,3,235
-120.720531112,37.5468046471,178,125,42,5623,343,50,293,102,251,257,102,359,68,1,83,192,4,5,192
-121.067090568,37.4631198195,172,122,44,5099,326,50,276,113,237,242,101,303,57,1,83,162,4,5,160
