Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-123.33024072690552,40.005342931673404,118.0,109,40,5515.0,278.0,6.0,271.0,47.0,190.0,198.0,47.0,1285.0,266.0,1.0,89.0,776.0,13.0,18.0,776.0
-121.17141686016448,39.18627750352536,154.0,123,38,6583.0,338.0,20.0,317.0,68.0,248.0,248.0,68.0,1011.0,200.0,2.0,83.0,566.0,10.0,10.0,566.0
-122.44808503652537,40.13552278628167,165.0,121,36,7040.0,357.0,29.0,328.0,73.0,268.0,268.0,73.0,669.0,135.0,3.0,81.0,384.0,13.0,13.0,384.0
-123.43590361176449,40.412437966368216,96.0,108,40,5378.0,253.0,-12.0,265.0,28.0,167.0,175.0,28.0,1408.0,272.0,2.0,84.0,803.0,19.0,28.0,803.0
-122.82727314421437,39.49752390830788,100.0,114,40,5636.0,263.0,-18.0,281.0,25.0,180.0,180.0,25.0,910.0,173.0,2.0,81.0,496.0,14.0,14.0,496.0
-114.90720164978823,34.67671786470651,214.0,128,35,8059.0,404.0,47.0,357.0,145.0,284.0,327.0,107.0,150.0,20.0,1.0,48.0,60.0,6.0,49.0,51.0
-114.64981116685574,34.57211888720652,221.0,127,35,8037.0,409.0,53.0,355.0,157.0,291.0,333.0,114.0,132.0,19.0,1.0,52.0,53.0,5.0,49.0,42.0
-122.29331676820925,40.31929431033781,167.0,122,36,7284.0,364.0,28.0,336.0,73.0,274.0,274.0,73.0,771.0,149.0,3.0,77.0,426.0,16.0,16.0,426.0
-120.5621982438937,39.7327906359405,102.0,124,36,7382.0,299.0,-43.0,343.0,7.0,211.0,211.0,7.0,735.0,145.0,5.0,77.0,409.0,20.0,20.0,409.0
-122.67459108392823,40.51145785552075,126.0,121,37,6803.0,315.0,-6.0,321.0,38.0,216.0,226.0,38.0,1065.0,213.0,3.0,85.0,619.0,22.0,23.0,619.0
-120.00156797970322,37.666110377068954,150.0,122,39,6376.0,326.0,15.0,310.0,68.0,243.0,243.0,68.0,809.0,156.0,2.0,83.0,443.0,6.0,6.0,443.0
-115.42433600864973,34.15278029420735,212.0,131,37,7586.0,399.0,51.0,348.0,169.0,274.0,319.0,111.0,95.0,14.0,1.0,52.0,40.0,4.0,36.0,40.0
-122.7575943279715,39.265799375719084,102.0,112,41,5444.0,261.0,-13.0,274.0,29.0,178.0,178.0,29.0,1078.0,198.0,2.0,84.0,588.0,14.0,14.0,588.0
-119.24427687732017,37.13728806734703,76.0,123,38,6650.0,255.0,-61.0,317.0,14.0,175.0,175.0,-6.0,917.0,160.0,3.0,76.0,479.0,12.0,12.0,426.0
-123.53747424430061,40.47153970267355,99.0,105,40,5218.0,252.0,-5.0,257.0,33.0,168.0,176.0,33.0,1363.0,267.0,2.0,85.0,768.0,18.0,26.0,768.0
-122.46122607047438,40.95098555702485,129.0,122,36,7165.0,325.0,-7.0,333.0,38.0,233.0,236.0,38.0,1327.0,277.0,4.0,85.0,787.0,25.0,25.0,787.0
-120.79623097986958,39.42203988253392,111.0,123,37,6927.0,301.0,-27.0,328.0,22.0,212.0,212.0,22.0,1512.0,317.0,3.0,84.0,897.0,18.0,18.0,897.0
-122.28405107375343,38.76115020819094,144.0,116,41,5413.0,302.0,24.0,278.0,70.0,217.0,218.0,70.0,683.0,131.0,1.0,87.0,383.0,6.0,6.0,383.0
-122.86725591501182,38.23622491189919,144.0,79,43,3444.0,243.0,62.0,181.0,95.0,190.0,190.0,95.0,964.0,206.0,1.0,88.0,580.0,8.0,8.0,580.0
-123.13951981776073,40.46116942030733,112.0,116,39,6053.0,286.0,-7.0,293.0,35.0,192.0,201.0,35.0,937.0,170.0,3.0,78.0,504.0,21.0,24.0,504.0
-120.92791248445626,40.01566522946069,106.0,123,36,7335.0,303.0,-37.0,340.0,11.0,213.0,213.0,11.0,1152.0,221.0,5.0,77.0,624.0,21.0,21.0,624.0
-119.92688920066742,37.616399205648904,144.0,122,39,6421.0,320.0,9.0,311.0,63.0,238.0,238.0,62.0,778.0,141.0,2.0,78.0,400.0,8.0,8.0,400.0
-122.70739456078346,40.145534771255555,144.0,120,38,6673.0,330.0,13.0,317.0,57.0,241.0,241.0,57.0,717.0,152.0,2.0,83.0,426.0,14.0,14.0,426.0
-119.93309303882715,38.00734155514645,85.0,121,38,6494.0,262.0,-51.0,313.0,2.0,180.0,180.0,2.0,1279.0,270.0,5.0,86.0,763.0,16.0,16.0,763.0
-122.05122695695259,40.41403554953615,163.0,122,35,7471.0,363.0,21.0,341.0,67.0,273.0,273.0,67.0,923.0,163.0,4.0,73.0,479.0,23.0,23.0,479.0
-119.56379103397974,37.48266318870376,74.0,123,39,6475.0,251.0,-61.0,313.0,3.0,170.0,170.0,-6.0,1029.0,183.0,3.0,79.0,544.0,14.0,14.0,507.0
-121.9525405002776,40.30747758046363,148.0,122,35,7366.0,345.0,6.0,338.0,52.0,256.0,256.0,52.0,898.0,159.0,3.0,72.0,462.0,22.0,22.0,462.0
-121.80122439193049,39.94813380938338,152.0,122,36,7111.0,345.0,14.0,331.0,60.0,255.0,255.0,60.0,1023.0,199.0,2.0,79.0,570.0,15.0,15.0,570.0
-114.39240638798778,34.31745996159797,195.0,127,36,7748.0,377.0,30.0,346.0,105.0,262.0,303.0,92.0,151.0,23.0,1.0,55.0,64.0,4.0,51.0,63.0
-120.83158698400194,38.53738088434677,157.0,122,39,6230.0,333.0,26.0,307.0,76.0,247.0,247.0,76.0,834.0,156.0,2.0,80.0,451.0,9.0,9.0,451.0
-118.57310671006456,34.68163673138195,119.0,125,42,5875.0,281.0,-12.0,293.0,51.0,195.0,204.0,44.0,453.0,95.0,1.0,90.0,278.0,3.0,9.0,235.0
-117.49699653268098,34.36784958537884,141.0,129,41,6296.0,310.0,0.0,311.0,68.0,221.0,232.0,59.0,492.0,106.0,2.0,88.0,302.0,9.0,15.0,278.0
