Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-117.23695657390464,35.01368746167941,197.0,129,36,7668.0,388.0,37.0,350.0,108.0,259.0,306.0,95.0,104.0,19.0,1.0,67.0,56.0,4.0,18.0,48.0
-115.95139767080016,33.00292947130246,233.0,136,41,6534.0,411.0,86.0,324.0,148.0,280.0,328.0,148.0,88.0,16.0,1.0,60.0,44.0,3.0,20.0,44.0
-121.34911253268456,35.89721966176276,112.0,97,47,3525.0,223.0,18.0,204.0,63.0,157.0,160.0,63.0,688.0,154.0,0.0,97.0,447.0,3.0,3.0,447.0
-116.047304021651,35.507289683220506,208.0,127,34,8533.0,407.0,34.0,372.0,110.0,282.0,328.0,93.0,170.0,23.0,2.0,43.0,66.0,10.0,50.0,60.0
-115.87952247938485,35.15198251011101,204.0,129,35,8270.0,400.0,33.0,366.0,320.0,275.0,320.0,93.0,198.0,27.0,3.0,41.0,77.0,11.0,77.0,59.0
-121.23724131031824,36.44825620090504,141.0,117,46,4337.0,279.0,29.0,250.0,91.0,196.0,200.0,81.0,425.0,88.0,1.0,91.0,251.0,3.0,4.0,244.0
-117.44504869316684,35.21069182038466,181.0,127,36,7710.0,372.0,24.0,348.0,92.0,244.0,291.0,80.0,118.0,23.0,1.0,75.0,69.0,4.0,14.0,58.0
-115.15416162542088,33.967853805511915,218.0,131,37,7564.0,404.0,57.0,346.0,308.0,280.0,325.0,117.0,115.0,19.0,1.0,54.0,48.0,4.0,48.0,40.0
-118.75400606678475,37.95826213771768,80.0,120,34,7826.0,273.0,-76.0,350.0,-19.0,167.0,196.0,-19.0,259.0,39.0,10.0,49.0,117.0,32.0,36.0,117.0
-116.60000868873892,36.2634429534928,175.0,120,32,8608.0,372.0,3.0,368.0,75.0,250.0,296.0,59.0,107.0,18.0,1.0,60.0,54.0,6.0,20.0,49.0
-123.55997963134294,38.857825639390526,128.0,55,40,2761.0,203.0,67.0,135.0,92.0,161.0,167.0,92.0,1106.0,221.0,3.0,86.0,647.0,13.0,21.0,647.0
-117.22834398771124,37.03675470938556,141.0,116,31,8588.0,337.0,-26.0,364.0,54.0,214.0,263.0,27.0,143.0,17.0,6.0,29.0,51.0,22.0,32.0,45.0
-121.9764463905669,37.12220796748451,127.0,78,47,2849.0,215.0,51.0,164.0,86.0,165.0,165.0,86.0,743.0,156.0,2.0,91.0,441.0,7.0,7.0,441.0
-118.9636844160439,36.95247480311978,87.0,122,37,6874.0,268.0,-52.0,320.0,10.0,189.0,189.0,1.0,790.0,143.0,4.0,79.0,419.0,12.0,12.0,397.0
-117.99046386919208,35.16512297375886,181.0,128,38,7292.0,367.0,30.0,337.0,97.0,238.0,286.0,86.0,132.0,24.0,1.0,80.0,73.0,4.0,10.0,69.0
-122.11319779191828,40.92175509141026,137.0,122,35,7508.0,338.0,-5.0,343.0,41.0,245.0,249.0,41.0,1528.0,300.0,4.0,82.0,863.0,29.0,29.0,863.0
-123.07110752374383,40.75885348493557,124.0,117,38,6332.0,303.0,0.0,303.0,43.0,207.0,218.0,43.0,909.0,171.0,4.0,82.0,512.0,21.0,23.0,512.0
-124.02181830459496,41.20204042598064,119.0,72,40,3809.0,224.0,43.0,180.0,72.0,176.0,176.0,72.0,1445.0,257.0,6.0,73.0,749.0,35.0,35.0,749.0
-123.65567841317642,40.98662883376856,131.0,98,40,5077.0,276.0,30.0,245.0,67.0,197.0,206.0,67.0,1243.0,255.0,3.0,86.0,732.0,20.0,24.0,732.0
-120.96207707741664,39.79056301083066,86.0,123,37,6968.0,277.0,-52.0,330.0,-3.0,188.0,188.0,-3.0,1544.0,321.0,4.0,81.0,888.0,19.0,19.0,888.0
-121.66755630974866,40.44561806880717,94.0,122,36,7195.0,289.0,-45.0,334.0,1.0,199.0,199.0,1.0,948.0,155.0,6.0,64.0,451.0,32.0,32.0,451.0
-120.66015393238602,39.29483187112485,91.0,123,37,6845.0,279.0,-47.0,326.0,3.0,191.0,191.0,3.0,1548.0,290.0,5.0,77.0,842.0,27.0,27.0,842.0
-119.99419729128569,41.71318026429232,73.0,113,32,7944.0,280.0,-70.0,350.0,-27.0,195.0,195.0,-27.0,495.0,66.0,11.0,43.0,196.0,41.0,41.0,196.0
-123.46912791382546,41.00376232570141,76.0,106,40,5334.0,231.0,-30.0,262.0,9.0,146.0,155.0,9.0,1517.0,299.0,4.0,85.0,872.0,23.0,33.0,872.0
-123.9600711358072,40.61391542682368,124.0,77,41,3885.0,233.0,45.0,187.0,75.0,173.0,181.0,75.0,1355.0,263.0,2.0,83.0,752.0,21.0,23.0,752.0
-116.50830015181418,33.68286660470151,179.0,133,41,6355.0,352.0,34.0,317.0,96.0,224.0,271.0,96.0,228.0,46.0,1.0,77.0,132.0,6.0,29.0,132.0
-122.93353919165652,41.92546495420186,50.0,115,39,6009.0,224.0,-68.0,292.0,-25.0,138.0,140.0,-25.0,818.0,154.0,10.0,75.0,456.0,39.0,39.0,456.0
-118.33389351832888,37.05377239123167,98.0,116,34,7738.0,285.0,-53.0,339.0,8.0,202.0,211.0,0.0,245.0,46.0,6.0,67.0,128.0,21.0,22.0,128.0
-123.80380012492716,41.46764981834326,118.0,87,40,4562.0,247.0,28.0,218.0,61.0,177.0,186.0,61.0,1498.0,276.0,5.0,80.0,826.0,29.0,32.0,826.0
-117.09373949702687,36.60802096280363,243.0,117,30,9197.0,447.0,64.0,382.0,137.0,325.0,372.0,120.0,79.0,12.0,1.0,50.0,35.0,7.0,14.0,33.0
-118.18826553290717,35.16980742853923,134.0,128,39,6949.0,316.0,-10.0,327.0,49.0,216.0,235.0,45.0,180.0,37.0,1.0,85.0,103.0,5.0,10.0,103.0
-117.98291044366978,36.35164651252076,162.0,118,33,8068.0,354.0,5.0,348.0,69.0,227.0,279.0,58.0,161.0,32.0,2.0,78.0,92.0,9.0,14.0,88.0
-115.66190302133748,33.430654780139854,217.0,135,40,7013.0,400.0,64.0,335.0,126.0,271.0,318.0,125.0,90.0,13.0,1.0,53.0,37.0,3.0,30.0,37.0
-118.4670783422502,37.04508485296724,2.0,117,36,7023.0,180.0,-140.0,320.0,-79.0,96.0,105.0,-86.0,455.0,77.0,14.0,60.0,226.0,43.0,44.0,212.0
-119.64439199484076,38.75190123427486,83.0,122,35,7495.0,276.0,-70.0,346.0,-11.0,175.0,194.0,-12.0,410.0,65.0,13.0,50.0,180.0,39.0,40.0,180.0
