Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-116.80815776558264,34.446471894764954,173.0,133,39,7068.0,357.0,19.0,337.0,84.0,228.0,274.0,80.0,319.0,55.0,1.0,72.0,161.0,9.0,33.0,160.0
-116.88913129452932,34.581164752427505,173.0,132,38,7170.0,358.0,18.0,339.0,89.0,229.0,275.0,78.0,244.0,40.0,2.0,61.0,113.0,10.0,38.0,111.0
-116.88244698513938,34.53682371078303,176.0,132,39,7137.0,361.0,22.0,339.0,90.0,232.0,279.0,82.0,250.0,41.0,1.0,65.0,119.0,9.0,33.0,118.0
-116.91115986821411,34.56886040751917,173.0,132,38,7170.0,358.0,18.0,339.0,89.0,229.0,275.0,78.0,244.0,40.0,2.0,61.0,113.0,10.0,38.0,111.0
-116.796520846711,34.42907947375872,173.0,133,39,7068.0,357.0,19.0,337.0,84.0,228.0,274.0,80.0,319.0,55.0,1.0,72.0,161.0,9.0,33.0,160.0
-116.81088023967277,34.511944531961014,173.0,132,38,7173.0,358.0,18.0,340.0,89.0,229.0,276.0,78.0,294.0,47.0,2.0,63.0,137.0,11.0,42.0,135.0
-116.81393901935823,34.53466606985014,173.0,132,38,7173.0,358.0,18.0,340.0,89.0,229.0,276.0,78.0,294.0,47.0,2.0,63.0,137.0,11.0,42.0,135.0
-116.77464746375523,34.485177164551864,171.0,133,39,7139.0,356.0,16.0,339.0,77.0,227.0,273.0,76.0,288.0,48.0,1.0,66.0,139.0,9.0,39.0,139.0
-117.0959079280175,34.50107103584631,161.0,132,39,6919.0,342.0,10.0,332.0,81.0,215.0,261.0,70.0,306.0,53.0,2.0,70.0,155.0,12.0,29.0,148.0
-116.74512337214564,34.48203810925114,174.0,133,38,7184.0,360.0,19.0,340.0,81.0,231.0,277.0,79.0,255.0,42.0,1.0,64.0,122.0,8.0,38.0,121.0
-116.64742321468594,34.453040067348894,179.0,133,38,7211.0,365.0,23.0,341.0,83.0,236.0,282.0,83.0,236.0,40.0,1.0,66.0,115.0,7.0,35.0,115.0
-116.80435748755448,34.44263145657114,173.0,133,39,7068.0,357.0,19.0,337.0,84.0,228.0,274.0,80.0,319.0,55.0,1.0,72.0,161.0,9.0,33.0,160.0
-116.89279005411235,34.568059293875486,173.0,132,38,7170.0,358.0,18.0,339.0,89.0,229.0,275.0,78.0,244.0,40.0,2.0,61.0,113.0,10.0,38.0,111.0
-116.88826125404469,34.5221135942691,176.0,132,39,7137.0,361.0,22.0,339.0,90.0,232.0,279.0,82.0,250.0,41.0,1.0,65.0,119.0,9.0,33.0,118.0
-116.79798215316055,34.445751372423814,173.0,133,39,7068.0,357.0,19.0,337.0,84.0,228.0,274.0,80.0,319.0,55.0,1.0,72.0,161.0,9.0,33.0,160.0
-116.82631517662018,34.46770517147934,168.0,133,39,7099.0,353.0,14.0,338.0,79.0,224.0,270.0,75.0,353.0,59.0,2.0,67.0,170.0,12.0,45.0,169.0
-116.87985077098244,34.489251625006375,176.0,132,39,7079.0,360.0,22.0,337.0,85.0,231.0,278.0,82.0,282.0,48.0,1.0,70.0,139.0,9.0,31.0,139.0
-116.66346588831587,34.44563159641587,179.0,133,38,7211.0,365.0,23.0,341.0,83.0,236.0,282.0,83.0,236.0,40.0,1.0,66.0,115.0,7.0,35.0,115.0
-117.12379852691151,34.53758711873724,161.0,132,39,6919.0,342.0,10.0,332.0,81.0,215.0,261.0,70.0,306.0,53.0,2.0,70.0,155.0,12.0,29.0,148.0
-116.88702687489406,34.54678437384039,173.0,132,38,7170.0,358.0,18.0,339.0,89.0,229.0,275.0,78.0,244.0,40.0,2.0,61.0,113.0,10.0,38.0,111.0
-116.78025817014415,34.53095263941709,169.0,132,38,7180.0,354.0,14.0,340.0,81.0,226.0,272.0,74.0,293.0,47.0,1.0,63.0,137.0,10.0,44.0,136.0
-117.11678814270333,34.48107053411027,166.0,132,39,6882.0,346.0,15.0,331.0,86.0,219.0,265.0,75.0,311.0,54.0,2.0,73.0,161.0,12.0,25.0,151.0
-116.77353802967836,34.50745134789597,169.0,132,38,7180.0,354.0,14.0,340.0,81.0,226.0,272.0,74.0,293.0,47.0,1.0,63.0,137.0,10.0,44.0,136.0
-117.11845501736524,34.535103652643535,161.0,132,39,6919.0,342.0,10.0,332.0,81.0,215.0,261.0,70.0,306.0,53.0,2.0,70.0,155.0,12.0,29.0,148.0
-116.7386230673281,34.463777896483464,174.0,133,38,7184.0,360.0,19.0,340.0,81.0,231.0,277.0,79.0,255.0,42.0,1.0,64.0,122.0,8.0,38.0,121.0
-116.84623046646452,34.493921416993246,175.0,132,39,7104.0,359.0,21.0,338.0,90.0,231.0,277.0,81.0,309.0,52.0,1.0,69.0,150.0,11.0,36.0,149.0
-116.90568508005124,34.48011219418815,176.0,132,39,7079.0,360.0,22.0,337.0,85.0,231.0,278.0,82.0,282.0,48.0,1.0,70.0,139.0,9.0,31.0,139.0
-116.8543979262003,34.58089950426511,170.0,132,38,7185.0,356.0,15.0,340.0,87.0,227.0,273.0,75.0,265.0,42.0,2.0,60.0,121.0,10.0,43.0,118.0
-116.7812775560795,34.5192412062658,169.0,132,38,7180.0,354.0,14.0,340.0,81.0,226.0,272.0,74.0,293.0,47.0,1.0,63.0,137.0,10.0,44.0,136.0
-116.62701057213201,34.419351336278595,179.0,133,38,7211.0,365.0,23.0,341.0,83.0,236.0,282.0,83.0,236.0,40.0,1.0,66.0,115.0,7.0,35.0,115.0
-116.90797158420874,34.551183879019874,173.0,132,38,7170.0,358.0,18.0,339.0,89.0,229.0,275.0,78.0,244.0,40.0,2.0,61.0,113.0,10.0,38.0,111.0
-117.09211613100285,34.51143192495414,161.0,132,39,6919.0,342.0,10.0,332.0,81.0,215.0,261.0,70.0,306.0,53.0,2.0,70.0,155.0,12.0,29.0,148.0
