pointid,SPECIES,LONGITUDE,LATITUDE
1,69,-123.543967588,41.289495798
3,69,-121.112987704,41.1481772395
4,69,-123.699192494,41.0978137107
6,69,-121.464404864,41.0241476536
7,69,-124.089321919,40.9903214029
11,69,-121.511009921,40.8373515803
13,69,-122.862932407,40.6851334522
21,69,-122.258570061,40.6396559373
23,69,-123.437602822,40.627628826
160,69,-123.173382219,40.5817754639
180,69,-121.981194805,40.5133712681
298,69,-122.310436979,40.3543878898
308,69,-121.953757958,40.322065028
415,69,-124.270104436,40.3145480834
417,69,-123.814577593,40.2908697079
421,69,-122.499863983,40.2352443179
431,69,-122.130782003,40.1427858993
434,69,-120.902137408,40.1134698153
441,69,-122.00637657,39.969144479
468,69,-122.276234881,39.9112640056
476,69,-121.876333428,39.8199331287
529,69,-122.098459141,39.7752073083
567,69,-123.510517184,39.7361191964
938,69,-121.785754246,39.6891382927
3418,69,-121.655711104,39.5267722893
3426,69,-122.236019227,39.5042214555
3430,69,-121.035563175,39.4546096211
3459,69,-121.419303197,39.367788911
3462,69,-121.214466456,39.3647821332
3463,69,-123.132790718,39.3640304387
6364,69,-123.585310783,39.2960020901
6796,69,-123.316580014,39.2896126872
7432,69,-121.821459733,39.2817198953
8941,69,-122.120258281,39.2448868668
9552,69,-121.091564412,39.2118123106
9674,69,-122.911040853,39.204295366
10109,69,-121.29940793,39.1948991852
10549,69,-122.294275548,39.1855030045
11962,69,-123.190295344,39.1678381847
13186,69,-123.54772606,39.1501733648
14338,69,-121.555359894,39.1306293089
19037,69,-122.686660056,39.0828967107
19855,69,-122.011262584,39.0603458769
21600,69,-123.117380982,39.0332848763
21685,69,-123.398138863,39.0325331819
22504,69,-122.874207824,39.0253920845
24776,69,-121.368187973,39.0111098897
36329,69,-121.133659302,38.959242972
37670,69,-120.897251394,38.9389472216
38133,69,-121.92632111,38.9284234991
38742,69,-122.600215193,38.9242891796
41898,69,-121.603468339,38.9043692764
42712,69,-123.024922563,38.8836976788
43301,69,-123.416555377,38.8731739563
43331,69,-122.227750588,38.8724222619
55211,69,-120.758939614,38.7961252742
57672,69,-122.54909997,38.7848498573
57968,69,-121.792519496,38.7825947739
57969,69,-121.166358011,38.7825947739
59602,69,-121.487707393,38.7716952042
60499,69,-121.980818958,38.7630507179
62448,69,-120.949870006,38.7570371623
62712,69,-122.906154839,38.7562854678
63048,69,-123.241786415,38.7555337733
95391,69,-122.344639077,38.6754783134
100309,69,-120.613862583,38.6664579798
108716,69,-122.706204112,38.6491690073
113756,69,-121.762827565,38.6382694376
115134,69,-120.795772642,38.6352626597
123000,69,-121.301663014,38.6115842843
123456,69,-122.886610783,38.6093292009
123944,69,-123.226752526,38.6074499647
125028,69,-121.998859625,38.6048190341
125151,69,-121.548594644,38.6044431869
146493,69,-122.491971191,38.5476902552
153687,69,-122.27773827,38.5285220464
164860,69,-122.684029126,38.5029644348
169718,69,-120.709327779,38.495071643
172325,69,-121.11486694,38.4916890179
193486,69,-121.462901475,38.4650038646
196712,69,-122.868945963,38.4616212395
202856,69,-123.068896689,38.455983531
207084,69,-121.916924929,38.452600906
217650,69,-121.706074633,38.4443322669
227247,69,-120.901385714,38.4341843917
252571,69,-122.470547899,38.4011098355
257438,69,-122.210461616,38.3928411964
287062,69,-121.260319818,38.3593907929
301328,69,-122.661854139,38.3458602926
313392,69,-120.617245208,38.334960723
328070,69,-121.440350642,38.3191751393
342069,69,-121.629777645,38.3060204863
344055,69,-121.884977915,38.3037654029
355849,69,-121.042328425,38.2909865971
371017,69,-122.358921272,38.2748251662
374858,69,-122.082673558,38.2710666939
393571,69,-120.784121378,38.2541535685
441885,69,-121.209204595,38.2188239289
443345,69,-122.53143515,38.21732054
489202,69,-120.482316052,38.1883803033
506993,69,-121.39036296,38.1789841225
513912,69,-122.730258335,38.1744739558
527532,69,-121.579789964,38.1662053167
596385,69,-121.044959356,38.1041905238
606446,69,-121.918428318,38.0951701902
630466,69,-120.716468877,38.0707401203
635195,69,-121.22348679,38.0609680923
636780,69,-120.409025842,38.0496926754
636815,69,-122.501743219,38.0417998836
638150,69,-122.134164628,38.0230075221
638152,69,-121.534312449,38.0230075221
646773,69,-121.733887328,37.9835435629
653628,69,-121.01038141,37.9576101041
666396,69,-121.368563821,37.9095016586
682598,69,-121.545963713,37.859513977
686761,69,-120.157584046,37.8448559351
686983,69,-120.828847198,37.8418491572
694477,69,-121.178760969,37.7937407118
696253,69,-121.931582971,37.7798343643
699907,69,-121.365557043,37.7493907386
701519,69,-120.619500291,37.7321017661
705074,69,-120.806296365,37.6903827235
709341,69,-121.732383939,37.6745971399
711138,69,-121.064127564,37.6655768063
719081,69,-120.2248607,37.6328780973
720494,69,-121.245661776,37.6170925137
723333,69,-120.663474417,37.5689840682
725209,69,-122.05110239,37.5577086513
733165,69,-120.963024659,37.5374129009
733679,69,-120.459013524,37.535909512
734406,69,-119.975298139,37.5347819703
750878,69,-121.165982164,37.4490888019
751268,69,-120.62776893,37.4254104264
751413,69,-120.275600076,37.4216519541
752400,69,-120.831478129,37.4107523844
754461,69,-122.241281089,37.3927117174
770366,69,-118.396739773,37.3427240358
771234,69,-120.431200829,37.3062668545
771241,69,-120.145181087,37.2991257571
771254,69,-121.771096204,37.2972465209
771319,69,-122.058995182,37.2788300067
771338,69,-120.994595827,37.2750715344
771343,69,-120.625513847,37.272816451
771421,69,-119.702057203,37.2280906306
772552,69,-120.324460216,37.1754720184
775700,69,-121.672248382,37.1630690598
776587,69,-120.824337032,37.1589347403
777531,69,-120.121126864,37.1476593234
782054,69,-122.021034612,37.1314978925
782672,69,-120.501108414,37.127363573
787883,69,-119.896746068,37.0875237666
793393,69,-121.296401152,37.0743691136
803144,69,-121.507627296,37.0458047241
803970,69,-120.66309857,37.0435496407
814186,69,-120.273344992,37.0255089737
821043,69,-121.832359302,37.0108509317
823065,69,-120.059112071,37.0014547509
826263,69,-120.876579797,36.9883000979
831495,69,-119.760313523,36.9665009585
863260,69,-120.481940205,36.9281645411
882049,69,-119.510750963,36.9078687907
882051,69,-121.436592169,36.9074929434
894992,69,-121.686530577,36.8932107487
905926,69,-119.923431221,36.8800560956
906079,69,-120.229370866,36.8796802484
920209,69,-120.728871835,36.8706599149
928370,69,-118.219715728,36.8665255954
996319,69,-120.922809006,36.8191688444
1022807,69,-120.389105939,36.7947387744
1040384,69,-121.319327833,36.7834633575
1046001,69,-119.659962313,36.7804565797
1068909,69,-120.072642572,36.7631676071
1079035,69,-119.459259892,36.7548989681
1085765,69,-120.57214354,36.7485095651
1094498,69,-119.876826165,36.7398650789
1159433,69,-121.575655644,36.6804812165
1177333,69,-120.250042464,36.6680782579
1223014,69,-119.609974631,36.6410172574
1251227,69,-121.232507123,36.6263592154
1255099,69,-119.36454639,36.6248558265
1258303,69,-120.026037515,36.6229765903
1263196,69,-120.455255052,36.6203456597
1287966,69,-119.791884691,36.6079427011
1296669,69,-120.837115837,36.6034325344
1374131,69,-121.422685822,36.563592728
1398166,69,-121.73088055,36.5515656166
1467624,69,-120.245908145,36.5158601298
1486812,69,-119.531798408,36.5075914907
1493890,69,-121.924066027,36.5042088656
1516759,69,-119.251040527,36.493309296
1523640,69,-119.949740527,36.488423282
1528349,69,-120.679635848,36.4854165041
1550161,69,-119.70656737,36.4703826149
1568797,69,-121.297528694,36.4414423782
1579279,69,-121.071268662,36.4245292529
1591956,69,-120.121878559,36.3925822383
1605135,69,-119.440843378,36.3719106407
1607287,69,-119.109346121,36.3685280156
1615353,69,-119.856906262,36.3576284459
1615477,69,-121.54370863,36.3572525987
1621854,69,-120.321077591,36.3489839597
1629688,69,-119.617867423,36.3347017649
1638810,69,-121.218224929,36.308768306
1674325,69,-119.269081194,36.2546463049
1678019,69,-120.030547682,36.2497602909
1689658,69,-120.522531706,36.2249543738
1693940,69,-119.773468176,36.2076654012
1694065,69,-119.470535309,36.2039069289
1695022,69,-121.038569953,36.1956382898
1696296,69,-120.233505186,36.1903764286
1697640,69,-120.808175601,36.1854904146
1700128,69,-121.437343864,36.1715840671
1712122,69,-119.089426218,36.1381336636
1724762,69,-119.9940905,36.093031996
1727587,69,-120.476678344,36.0840116625
1730118,69,-119.263443485,36.0776222596
1736130,69,-120.964152201,36.0618366759
1743094,69,-121.176130039,36.0400375366
1744065,69,-120.190282755,36.0359032171
1745151,69,-119.558859408,36.0291379669
1752898,69,-120.642426972,35.999821883
1754059,69,-119.016511855,35.9915532439
1767969,69,-119.18677065,35.9355520067
1770383,69,-119.889229123,35.9299142982
1793097,69,-120.92092977,35.9077393116
1806775,69,-120.441348704,35.8942088114
1830102,69,-119.348384959,35.8630134913
1848201,69,-120.654829931,35.8363283379
1863517,69,-119.665224174,35.8186635181
1871046,69,-119.087171134,35.8051330178
1874191,69,-121.255057957,35.7964885316
1879464,69,-120.056481141,35.7882198925
1896468,69,-120.851022185,35.7630381281
1906291,69,-119.846382539,35.7528902529
1937218,69,-119.272087972,35.7292118774
1961986,69,-120.552223637,35.7029025713
1993874,69,-119.511878504,35.6645661538
2015110,69,-120.725865057,35.6393843894
2025260,69,-121.120880496,35.6235988058
2032693,69,-119.702057203,35.6130750833
2036567,69,-120.333480549,35.604430597
2036847,69,-119.155199483,35.6040547498
2061975,69,-120.507873664,35.5623357073
2068029,69,-120.903640797,35.5476776653
2068439,69,-119.349512501,35.5469259708
2088931,69,-120.686025251,35.4976899837
2092062,69,-119.565248811,35.4924281225
2100595,69,-120.23162595,35.4766425388
2105212,69,-119.083788509,35.4691255942
2112268,69,-118.854145852,35.4364268852
2113589,69,-119.260812555,35.408238343
2114069,69,-120.415791093,35.3913252176
2117029,69,-119.453998031,35.3541163418
2119911,69,-120.666857042,35.3394582999
2125029,69,-118.831970865,35.2890947711
2125041,69,-119.11761476,35.2887189238
2145752,69,-120.823961184,35.2267041309
2150997,69,-120.439093621,35.2173079501
2151454,69,-120.207571727,35.2165562557
2161894,69,-120.625138,35.1872401717
2169424,69,-119.433326433,35.1492796015
2170265,69,-118.994336869,35.1432660458
2171963,69,-118.568501957,35.1342457123
2173204,69,-119.188649887,35.1229702954
2200747,69,-120.038064626,35.0876406558
2206646,69,-120.368058494,35.0823787946
2241476,69,-118.748156933,35.0342703491
2251169,69,-118.923677589,35.0083368902
2252669,69,-120.529296956,35.0019474873
2259471,69,-119.756179204,34.9778932646
2263431,69,-120.227115783,34.9538390419
2265829,69,-119.526536546,34.9264021941
2268969,69,-118.291878396,34.8910725545
2271013,69,-120.391361023,34.8824280682
2285405,69,-120.560492276,34.7933522747
2285526,69,-120.17863149,34.7929764275
2300368,69,-120.347762744,34.7054040229
2300906,69,-120.029795987,34.669698536
2305078,69,-118.239635631,34.6396307576
2305717,69,-119.809173663,34.6343688964
2307977,69,-117.803652844,34.61895916
2313350,69,-120.52741772,34.5918981594
2313935,69,-120.196672157,34.5746091868
2314238,69,-120.364675869,34.4716270458
2314241,69,-119.998976514,34.467116879
2314242,69,-119.148058386,34.4408075729
2314249,69,-119.542697977,34.4351698645
2314250,69,-118.196789047,34.4302838505
2314271,69,-118.909771242,34.3776652383
2314274,69,-119.115735524,34.2615284442
2314354,69,-117.518384796,34.1269751359
2314360,69,-118.834977643,34.1006658298
2314361,69,-117.812673178,34.0623294123
2314485,69,-120.185396741,34.00294555
2314489,69,-117.138403247,33.942434146
2314500,69,-117.113221483,33.7556380727
2314505,69,-116.155186893,33.7289529193
2319997,69,-116.045439502,33.6007890139
2324920,69,-117.030535092,33.565083527
2326086,69,-117.31580314,33.5613250547
2334878,69,-116.8801962,33.4448124134
2334942,69,-116.093547948,33.4406780939
2335571,69,-117.204552359,33.3433336613
2335620,69,-116.954613951,33.25125109
2335623,69,-116.355889314,33.2411032148
2335624,69,-117.149678664,33.1685646994
2335783,69,-116.830960213,33.0888850866
2335817,69,-116.848249185,32.7134137039
