Species,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
221,-121.7307949,41.82977507,91,119,35,7289,292,-43,335,10,203,203,0,350,49,7,45,143,30,30,136
221,-122.3452816,41.68982802,113,121,36,7102,309,-21,330,30,220,220,23,538,88,9,61,256,34,34,254
221,-120.4291676,41.57234499,95,116,33,7895,302,-48,350,6,216,216,-4,399,56,7,48,163,28,28,162
221,-121.114908,41.13017075,103,120,34,7682,307,-40,347,5,219,219,5,413,62,5,55,185,20,20,185
221,-121.045248,41.13973167,102,120,34,7698,307,-41,348,5,219,219,5,388,55,5,51,164,21,21,164
221,-120.505814,40.3814919,110,122,34,7861,314,-40,355,8,227,227,8,306,54,5,61,158,16,16,158
221,-122.096398,39.84483142,177,122,36,7056,369,39,329,85,279,279,85,620,129,1,84,368,9,9,368
221,-121.5393501,39.4395837,177,123,37,6819,365,41,324,87,274,274,87,809,155,1,81,445,6,6,445
221,-122.0427242,38.95255673,169,121,40,5932,340,42,297,89,251,251,89,458,100,1,92,287,5,5,287
221,-121.3196874,38.93102876,179,123,39,6331,358,47,310,94,268,268,94,652,133,1,84,377,6,6,377
221,-122.8747091,38.51457127,154,91,42,4132,273,59,214,97,206,210,97,988,230,1,94,653,9,9,653
221,-123.0916589,38.44568686,145,74,42,3362,240,67,172,98,186,191,98,1186,241,1,88,697,11,13,697
221,-122.0134971,38.63024536,166,118,42,5461,325,44,281,90,240,240,90,514,119,1,95,332,5,5,332
221,-122.061062,38.51819704,153,115,42,5167,306,36,270,82,222,223,82,604,143,0,96,397,4,4,397
221,-122.397909,38.44019051,159,105,43,4674,296,51,245,93,221,221,93,610,142,1,93,392,5,5,392
221,-122.9107927,38.32083654,149,80,43,3566,251,64,186,98,195,196,98,936,201,1,89,571,8,8,571
221,-122.3518013,38.38270021,158,105,43,4634,295,50,244,93,220,220,93,602,144,1,95,396,5,5,396
221,-121.9848914,38.43877975,164,115,42,5123,315,46,269,92,229,233,92,550,130,0,97,363,3,3,363
221,-122.2792083,38.34798993,158,106,43,4646,296,50,245,96,220,220,93,622,127,1,88,361,6,6,360
221,-122.0357032,38.3952467,158,114,43,4995,307,43,263,89,222,226,89,577,137,0,98,383,4,4,383
221,-121.3847927,38.49782452,175,122,41,5717,342,49,293,98,254,254,98,457,94,1,86,266,3,3,266
221,-121.8859291,38.38538957,166,116,43,5137,319,48,270,95,233,236,95,530,118,0,93,329,3,3,329
221,-122.5686198,38.23264124,153,92,43,3961,269,58,210,97,205,205,97,737,161,1,90,448,6,6,448
221,-122.395849,38.25305753,151,100,43,4296,278,49,228,90,207,208,90,774,170,1,91,478,7,7,478
221,-122.0236629,38.32752148,159,112,43,4847,303,45,257,91,221,224,91,585,131,0,95,370,4,4,370
221,-122.0888919,38.30111122,157,110,43,4752,299,46,252,90,217,221,90,567,126,0,95,359,4,4,359
221,-122.4450055,38.2224433,157,97,43,4156,279,58,221,98,212,212,98,633,147,1,94,410,5,5,410
221,-122.3253761,38.23657367,158,101,43,4333,287,55,231,97,216,216,97,601,135,1,92,381,5,5,381
221,-121.3419685,38.43387772,175,122,41,5703,342,49,293,98,254,254,98,468,96,1,86,273,3,3,273
221,-122.9048015,38.09221473,140,70,44,3052,226,65,160,96,177,180,96,1053,221,1,88,623,10,10,623
221,-121.6666592,38.36301652,170,119,42,5319,328,49,279,97,243,243,97,441,93,0,88,263,2,2,263
221,-121.8994761,38.31243485,165,115,43,4995,314,49,265,95,232,232,95,512,113,0,92,318,2,2,318
221,-122.1111414,38.24176185,161,108,43,4603,298,52,246,96,219,222,96,508,117,0,94,330,4,4,330
221,-122.8144731,38.0804958,143,73,44,3107,232,68,164,99,184,184,99,822,182,1,91,509,7,7,509
221,-122.63648,38.11895135,140,83,44,3512,242,54,187,90,186,186,90,835,188,1,93,523,5,5,523
221,-122.4541235,38.1575161,155,94,44,3966,272,59,212,98,207,207,98,715,163,1,93,456,5,5,456
221,-121.727603,38.31441629,169,118,43,5171,323,49,273,97,238,238,97,451,97,0,90,273,2,2,273
221,-122.9675295,38.04097026,142,61,43,2681,218,77,140,104,172,177,104,1012,223,1,91,626,9,10,626
221,-122.2298525,38.20162492,152,103,44,4347,282,48,233,90,210,210,90,660,135,1,86,381,7,7,381
221,-121.2745212,38.39869249,176,123,41,5736,343,50,294,98,255,255,98,484,99,1,85,281,3,3,281
221,-122.5282958,38.12576142,154,90,44,3835,267,61,205,99,205,205,99,726,166,1,93,459,5,5,459
221,-121.3337609,38.38122683,175,122,42,5654,340,49,291,98,253,253,98,466,96,1,86,272,3,3,272
221,-119.652113,38.7080108,57,122,36,7272,246,-92,339,-33,165,165,-35,613,106,15,60,293,48,48,293
221,-122.2093718,38.15938045,155,102,44,4269,282,52,230,94,211,211,94,630,128,1,86,363,5,5,363
221,-122.5438898,38.07468303,144,85,44,3559,249,57,191,93,191,191,93,821,199,1,97,549,5,5,549
221,-121.3653609,38.3182327,175,122,42,5553,338,50,288,99,251,251,99,450,92,1,86,261,3,3,261
221,-121.2935696,38.32644089,175,122,42,5596,339,50,289,99,252,252,99,458,93,1,85,265,3,3,265
221,-122.2819522,38.10255047,157,99,44,4126,280,57,222,98,211,211,98,599,127,1,89,360,5,5,360
221,-121.4543298,38.28052547,173,121,42,5414,333,50,284,98,247,247,98,433,88,1,86,252,3,3,252
221,-121.974193,38.1545071,162,110,44,4608,300,52,248,97,223,223,97,481,103,0,90,293,2,2,293
221,-122.1120686,38.12198303,157,105,44,4360,287,51,236,95,214,214,95,508,117,0,95,334,3,3,334
221,-122.6150662,38.0089797,138,81,44,3384,237,55,182,90,183,183,90,866,202,1,94,558,5,5,558
221,-122.5179443,38.02003012,150,85,44,3537,254,63,190,100,197,197,100,755,172,1,94,480,5,5,480
221,-119.8062296,38.56314447,43,122,37,6898,227,-101,328,-44,145,145,-44,839,156,12,69,431,39,39,431
221,-121.4266743,38.23088408,172,121,42,5361,331,50,282,99,245,245,99,424,86,1,86,246,3,3,246
221,-122.7119331,37.94803458,137,70,44,2956,222,64,158,95,174,176,95,947,207,1,92,584,8,8,584
221,-121.290027,38.25533605,175,122,42,5589,339,50,289,99,252,252,99,463,93,1,85,266,3,3,266
221,-121.215032,38.2705639,176,122,42,5633,340,50,291,99,253,253,99,471,95,1,85,271,3,3,271
221,-120.9207955,38.31230317,177,123,40,5982,348,47,300,97,261,261,97,574,113,1,83,326,5,5,326
221,-122.2434325,38.01587244,150,98,44,4012,270,51,218,92,202,202,92,608,125,1,85,349,5,5,349
