Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-120.08194546448244,37.61521807119254,162.0,123,39,6348.0,338.0,28.0,310.0,80.0,255.0,255.0,80.0,663.0,133.0,1.0,84.0,380.0,5.0,5.0,380.0
-119.31634518260425,35.966945343522646,199.0,130,40,6629.0,379.0,56.0,323.0,124.0,286.0,296.0,114.0,223.0,43.0,0.0,83.0,122.0,2.0,2.0,116.0
-121.67427424106333,39.25036543867289,180.0,123,38,6574.0,364.0,46.0,317.0,93.0,273.0,273.0,93.0,532.0,108.0,1.0,85.0,313.0,3.0,3.0,313.0
-117.41093924667591,33.298158567744686,182.0,93,43,4167.0,299.0,84.0,215.0,134.0,231.0,244.0,130.0,310.0,64.0,1.0,90.0,186.0,4.0,5.0,176.0
-120.7132616205848,38.184464650659685,164.0,122,40,6049.0,336.0,34.0,302.0,84.0,250.0,250.0,84.0,622.0,127.0,1.0,82.0,364.0,7.0,7.0,364.0
-122.28556908368728,38.97374461088181,156.0,119,40,5811.0,324.0,32.0,292.0,77.0,237.0,237.0,77.0,514.0,115.0,1.0,93.0,329.0,5.0,5.0,329.0
-122.57960703265822,40.269902115680026,160.0,121,37,6996.0,352.0,25.0,327.0,70.0,263.0,263.0,70.0,733.0,148.0,3.0,80.0,420.0,17.0,17.0,420.0
-119.64447343323735,34.44997291266704,176.0,95,44,4098.0,294.0,79.0,214.0,128.0,226.0,235.0,124.0,456.0,107.0,0.0,102.0,319.0,1.0,2.0,281.0
-120.79716654304809,37.62031722095121,177.0,124,42,5541.0,341.0,50.0,291.0,102.0,249.0,255.0,102.0,349.0,67.0,1.0,83.0,188.0,4.0,5.0,188.0
-119.16307333853796,36.19766981499586,200.0,127,39,6867.0,382.0,56.0,326.0,117.0,301.0,301.0,112.0,328.0,64.0,0.0,84.0,177.0,2.0,2.0,176.0
-116.73257349862835,32.65179210756856,154.0,114,45,4668.0,292.0,40.0,250.0,111.0,209.0,223.0,95.0,436.0,85.0,2.0,86.0,247.0,10.0,17.0,226.0
-118.47376415600979,34.246816988489954,185.0,113,43,5133.0,326.0,65.0,260.0,125.0,249.0,259.0,119.0,364.0,80.0,0.0,95.0,240.0,1.0,4.0,209.0
-117.32175577329889,33.47182766955338,174.0,107,43,4750.0,308.0,62.0,246.0,120.0,231.0,245.0,114.0,273.0,61.0,1.0,93.0,172.0,4.0,7.0,164.0
-120.75350735225202,38.08601704328779,165.0,123,40,5933.0,335.0,35.0,299.0,86.0,249.0,249.0,86.0,559.0,104.0,1.0,79.0,298.0,5.0,5.0,298.0
-123.11350027972139,38.95353765457388,139.0,90,41,4316.0,262.0,44.0,217.0,81.0,195.0,199.0,81.0,959.0,223.0,1.0,92.0,625.0,9.0,9.0,625.0
-121.44903550510922,38.10607675333161,171.0,120,43,5200.0,326.0,50.0,276.0,99.0,241.0,241.0,99.0,396.0,80.0,1.0,85.0,226.0,3.0,3.0,226.0
-121.20859804449198,37.94949167811134,173.0,121,43,5264.0,330.0,50.0,280.0,100.0,245.0,245.0,100.0,351.0,70.0,1.0,83.0,196.0,3.0,3.0,196.0
-119.65267566944625,37.227619336510905,154.0,124,39,6576.0,334.0,16.0,317.0,77.0,251.0,251.0,71.0,760.0,161.0,1.0,89.0,448.0,4.0,4.0,440.0
-120.44548795663381,37.10248761449344,183.0,128,42,5802.0,353.0,51.0,302.0,117.0,259.0,265.0,105.0,280.0,51.0,0.0,84.0,150.0,1.0,2.0,149.0
-120.7334529520191,37.95069481031926,167.0,123,41,5847.0,336.0,38.0,298.0,89.0,250.0,250.0,89.0,570.0,103.0,1.0,80.0,295.0,5.0,5.0,295.0
-120.9632092641064,38.55025456119218,167.0,122,40,6144.0,342.0,37.0,305.0,86.0,255.0,255.0,86.0,825.0,170.0,2.0,85.0,487.0,8.0,8.0,487.0
-122.40771702582157,38.42631096474253,159.0,105,43,4674.0,296.0,51.0,245.0,93.0,221.0,221.0,93.0,610.0,142.0,1.0,93.0,392.0,5.0,5.0,392.0
-118.71642668047878,35.93798596599663,153.0,126,38,7035.0,336.0,8.0,327.0,74.0,246.0,256.0,63.0,488.0,89.0,1.0,84.0,262.0,7.0,7.0,256.0
-120.30029396880664,37.7083060600136,163.0,123,40,6152.0,336.0,30.0,305.0,83.0,252.0,252.0,83.0,731.0,141.0,1.0,83.0,402.0,5.0,5.0,402.0
-121.4083522163987,38.477732882583396,175.0,122,41,5717.0,342.0,49.0,293.0,98.0,254.0,254.0,98.0,457.0,94.0,1.0,86.0,266.0,3.0,3.0,266.0
-121.40250993682785,38.972310369451165,180.0,123,39,6335.0,358.0,48.0,310.0,95.0,269.0,269.0,95.0,625.0,132.0,1.0,86.0,371.0,5.0,5.0,371.0
-118.95492459941835,34.180277016807636,176.0,95,43,4286.0,296.0,77.0,218.0,126.0,229.0,239.0,122.0,474.0,109.0,0.0,99.0,307.0,1.0,2.0,285.0
-118.81271348329264,35.67545682557286,164.0,128,39,6898.0,346.0,20.0,326.0,105.0,255.0,265.0,76.0,376.0,68.0,1.0,79.0,201.0,6.0,7.0,178.0
-120.52071106260686,37.13259283728867,182.0,128,42,5718.0,350.0,51.0,299.0,117.0,256.0,263.0,105.0,275.0,51.0,0.0,84.0,148.0,1.0,2.0,146.0
-123.12901593369715,39.80866427875071,134.0,111,39,5670.0,297.0,19.0,277.0,60.0,208.0,216.0,60.0,927.0,184.0,1.0,84.0,530.0,11.0,15.0,530.0
-120.76720391911894,38.06457206228862,162.0,123,41,5886.0,332.0,33.0,298.0,84.0,245.0,245.0,84.0,606.0,120.0,1.0,83.0,342.0,5.0,5.0,342.0
-122.76057287688695,38.35990119235843,152.0,88,43,3909.0,265.0,60.0,205.0,97.0,204.0,204.0,97.0,785.0,182.0,1.0,92.0,509.0,7.0,7.0,509.0
-122.35170865243276,40.24261159350898,167.0,122,36,7189.0,362.0,29.0,333.0,74.0,273.0,273.0,74.0,728.0,150.0,3.0,83.0,428.0,13.0,13.0,428.0
-118.80851815076291,35.96296040311706,169.0,126,38,7036.0,352.0,24.0,328.0,88.0,267.0,272.0,79.0,535.0,97.0,1.0,84.0,286.0,6.0,6.0,281.0
-120.86811022431931,37.96469967546214,177.0,123,41,5772.0,345.0,49.0,295.0,99.0,258.0,258.0,99.0,462.0,89.0,1.0,83.0,257.0,5.0,5.0,257.0
-120.75651919316552,38.011815888508245,163.0,123,41,5854.0,332.0,34.0,298.0,91.0,246.0,246.0,85.0,592.0,110.0,1.0,81.0,316.0,6.0,6.0,316.0
-118.90429776273709,35.00476837140059,194.0,127,40,6375.0,366.0,55.0,311.0,121.0,277.0,287.0,113.0,267.0,46.0,1.0,79.0,134.0,4.0,5.0,130.0
-117.18056155177419,33.907183326027145,181.0,125,42,5883.0,342.0,45.0,296.0,114.0,255.0,267.0,105.0,397.0,78.0,2.0,85.0,234.0,10.0,14.0,208.0
-120.7864908252811,37.74262690412274,177.0,124,42,5677.0,343.0,49.0,294.0,101.0,251.0,257.0,101.0,418.0,82.0,1.0,84.0,234.0,5.0,5.0,234.0
-122.83526945728181,38.24463203498573,144.0,79,43,3444.0,243.0,62.0,181.0,95.0,190.0,190.0,95.0,964.0,206.0,1.0,88.0,580.0,8.0,8.0,580.0
-119.00673037376701,35.96060806206721,199.0,127,38,6941.0,382.0,54.0,328.0,112.0,301.0,301.0,111.0,341.0,65.0,0.0,83.0,181.0,2.0,2.0,181.0
-122.48519906416043,40.23674568730365,161.0,122,36,7050.0,354.0,25.0,328.0,70.0,264.0,264.0,70.0,748.0,146.0,3.0,77.0,414.0,17.0,17.0,414.0
-118.97040576543834,36.478014510623616,162.0,124,38,6997.0,345.0,19.0,325.0,80.0,265.0,265.0,73.0,707.0,140.0,1.0,84.0,390.0,5.0,5.0,389.0
-120.1077784522711,37.86536107618976,152.0,122,38,6456.0,330.0,17.0,312.0,70.0,247.0,247.0,70.0,782.0,167.0,2.0,87.0,477.0,7.0,7.0,477.0
-118.85921757773357,35.42184119859282,199.0,129,39,6875.0,381.0,53.0,327.0,123.0,290.0,299.0,111.0,210.0,37.0,0.0,79.0,108.0,2.0,4.0,105.0
-119.11241730983205,34.35248787750013,182.0,101,43,4578.0,310.0,77.0,232.0,129.0,239.0,249.0,125.0,383.0,89.0,0.0,101.0,261.0,1.0,2.0,234.0
-121.29620796307657,37.858755087547586,170.0,120,43,5060.0,323.0,50.0,272.0,100.0,239.0,239.0,100.0,325.0,64.0,1.0,83.0,179.0,3.0,3.0,179.0
-122.46927613299353,40.025639062801176,163.0,121,37,6880.0,352.0,28.0,323.0,73.0,263.0,263.0,73.0,597.0,121.0,3.0,81.0,340.0,11.0,11.0,340.0
-123.07460876608522,38.88219587743799,142.0,91,41,4360.0,267.0,46.0,220.0,83.0,197.0,203.0,83.0,935.0,211.0,1.0,91.0,595.0,9.0,9.0,595.0
-116.98986003540946,33.76802337132358,185.0,127,42,5932.0,348.0,47.0,300.0,117.0,225.0,272.0,108.0,367.0,69.0,2.0,81.0,205.0,13.0,21.0,195.0
-118.81650258337649,35.833658762338274,179.0,127,38,7039.0,362.0,33.0,329.0,119.0,275.0,282.0,89.0,420.0,75.0,1.0,82.0,222.0,5.0,6.0,209.0
-118.62182610219413,34.53551964761773,177.0,120,42,5677.0,333.0,49.0,283.0,112.0,250.0,260.0,105.0,317.0,68.0,0.0,92.0,200.0,2.0,5.0,167.0
-118.24958002131298,33.84476553292262,192.0,101,43,4447.0,317.0,86.0,230.0,141.0,246.0,257.0,135.0,338.0,78.0,0.0,98.0,222.0,1.0,2.0,207.0
-122.20438882250116,40.13711416761812,175.0,122,36,7276.0,371.0,35.0,335.0,80.0,281.0,281.0,80.0,675.0,136.0,3.0,81.0,391.0,11.0,11.0,391.0
-123.58694848868542,39.30954502905805,139.0,72,40,3642.0,240.0,62.0,177.0,91.0,184.0,191.0,91.0,1125.0,224.0,2.0,85.0,649.0,12.0,19.0,649.0
-120.06374718872279,37.21578319330893,181.0,126,40,6219.0,357.0,47.0,310.0,111.0,272.0,272.0,101.0,466.0,84.0,1.0,82.0,246.0,3.0,3.0,241.0
-122.20761656845669,38.01538066254361,147.0,99,44,4071.0,269.0,47.0,222.0,89.0,200.0,200.0,89.0,579.0,125.0,0.0,88.0,352.0,4.0,4.0,352.0
-121.63930730097783,38.398854821846584,171.0,120,42,5378.0,330.0,49.0,281.0,97.0,244.0,244.0,97.0,444.0,94.0,0.0,88.0,266.0,2.0,2.0,266.0
-121.94368563148365,38.726712299302164,169.0,120,41,5671.0,334.0,45.0,289.0,92.0,247.0,247.0,92.0,507.0,105.0,1.0,88.0,298.0,5.0,5.0,298.0
-117.32336625323411,34.39048272021169,159.0,131,40,6571.0,334.0,13.0,321.0,83.0,244.0,254.0,73.0,381.0,80.0,2.0,86.0,224.0,8.0,15.0,219.0
-121.30766474883173,38.76511598983535,178.0,123,40,6131.0,353.0,48.0,304.0,96.0,264.0,264.0,96.0,569.0,116.0,1.0,84.0,330.0,5.0,5.0,330.0
-121.93911804557158,38.15511386320877,163.0,111,44,4660.0,303.0,51.0,251.0,96.0,225.0,225.0,96.0,472.0,100.0,1.0,89.0,284.0,3.0,3.0,284.0
-119.94042635244908,34.55111294165797,160.0,95,45,3951.0,275.0,64.0,211.0,113.0,208.0,217.0,109.0,541.0,120.0,0.0,96.0,337.0,1.0,2.0,323.0
-122.94983861679707,38.2556808435991,146.0,76,43,3379.0,242.0,66.0,176.0,99.0,190.0,191.0,99.0,1011.0,216.0,1.0,89.0,613.0,9.0,9.0,613.0
-120.68660355480378,37.33376410564536,179.0,126,42,5578.0,344.0,50.0,294.0,115.0,257.0,257.0,103.0,309.0,60.0,1.0,85.0,170.0,3.0,3.0,168.0
-120.43239864423927,37.596485676487916,181.0,124,41,5999.0,353.0,50.0,302.0,102.0,267.0,267.0,102.0,510.0,101.0,1.0,86.0,291.0,3.0,3.0,291.0
-122.7498405041127,38.243552817803135,147.0,85,43,3678.0,254.0,59.0,194.0,95.0,196.0,196.0,95.0,759.0,174.0,1.0,90.0,481.0,7.0,7.0,481.0
