Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-123.20806436317154,39.17181271810192,145.0,92,40,4575.0,275.0,47.0,227.0,84.0,204.0,210.0,84.0,960.0,190.0,1.0,88.0,561.0,9.0,10.0,561.0
-121.42686038604168,38.307819298577506,173.0,121,42,5469.0,335.0,49.0,285.0,98.0,248.0,248.0,98.0,439.0,90.0,1.0,86.0,255.0,3.0,3.0,255.0
-117.02427300665154,33.33400178426328,182.0,116,43,5090.0,327.0,61.0,265.0,130.0,244.0,257.0,117.0,367.0,68.0,2.0,82.0,203.0,9.0,17.0,183.0
-122.69858798645636,38.2163456717797,149.0,87,43,3752.0,258.0,59.0,198.0,96.0,198.0,198.0,96.0,724.0,170.0,1.0,93.0,470.0,6.0,6.0,470.0
-119.18507951311261,36.41682111513778,198.0,126,38,6894.0,381.0,55.0,326.0,115.0,299.0,299.0,110.0,400.0,77.0,1.0,82.0,211.0,3.0,3.0,211.0
-121.91306996816608,39.291002194272366,178.0,123,39,6502.0,361.0,45.0,315.0,92.0,270.0,270.0,92.0,446.0,83.0,1.0,80.0,244.0,4.0,4.0,244.0
-120.45091128273457,38.04912343998516,159.0,122,39,6262.0,335.0,26.0,308.0,78.0,250.0,250.0,78.0,772.0,161.0,1.0,84.0,453.0,7.0,7.0,453.0
-122.24241966874546,39.74720307406773,175.0,122,37,6847.0,363.0,39.0,323.0,85.0,273.0,273.0,85.0,545.0,109.0,1.0,82.0,309.0,9.0,9.0,309.0
-122.26826890053036,38.73263694280671,151.0,115,41,5363.0,308.0,32.0,275.0,80.0,224.0,224.0,77.0,665.0,127.0,1.0,88.0,373.0,6.0,6.0,373.0
-119.19791748059676,36.66692229982465,177.0,125,38,6903.0,360.0,35.0,325.0,96.0,279.0,279.0,89.0,516.0,98.0,1.0,82.0,275.0,3.0,3.0,272.0
-121.61042443586044,38.96597446523559,179.0,123,40,6230.0,356.0,48.0,307.0,95.0,265.0,265.0,95.0,507.0,105.0,1.0,86.0,301.0,3.0,3.0,301.0
-120.73607309164989,38.08282498833781,162.0,123,40,5932.0,332.0,32.0,299.0,83.0,246.0,246.0,83.0,632.0,121.0,1.0,82.0,347.0,5.0,5.0,347.0
-121.8794767973783,38.70599568300314,170.0,120,41,5632.0,334.0,46.0,288.0,93.0,247.0,247.0,93.0,498.0,106.0,1.0,89.0,299.0,5.0,5.0,299.0
-117.23451400053929,33.844926915008415,183.0,124,42,5751.0,340.0,49.0,291.0,117.0,255.0,267.0,109.0,310.0,63.0,1.0,87.0,187.0,8.0,10.0,171.0
-118.8828345684783,35.94016715011847,186.0,127,38,7008.0,369.0,40.0,328.0,104.0,289.0,289.0,97.0,447.0,84.0,1.0,84.0,241.0,5.0,5.0,238.0
-120.08865292064834,37.19360117882276,186.0,126,40,6177.0,361.0,51.0,309.0,115.0,276.0,276.0,106.0,387.0,70.0,1.0,82.0,205.0,3.0,3.0,203.0
-116.77144120308719,32.72640457772045,157.0,114,45,4680.0,295.0,44.0,251.0,116.0,213.0,227.0,99.0,478.0,90.0,3.0,85.0,264.0,10.0,16.0,247.0
-120.33071595377639,37.54898347059453,174.0,124,40,6086.0,347.0,42.0,305.0,99.0,262.0,262.0,95.0,587.0,108.0,1.0,83.0,313.0,4.0,4.0,313.0
-122.58141882346975,37.972505662999964,146.0,81,44,3362.0,244.0,63.0,181.0,97.0,190.0,190.0,97.0,748.0,177.0,1.0,95.0,490.0,5.0,5.0,490.0
-123.40856036918207,38.656744172244714,139.0,61,41,2929.0,219.0,72.0,146.0,99.0,173.0,179.0,99.0,1213.0,239.0,2.0,86.0,695.0,14.0,20.0,695.0
-122.80735783380706,38.33305204554468,148.0,85,43,3728.0,255.0,60.0,195.0,95.0,197.0,198.0,95.0,905.0,200.0,1.0,90.0,564.0,8.0,8.0,564.0
-120.65380086860483,37.734633702352895,180.0,124,41,5835.0,348.0,50.0,298.0,102.0,261.0,262.0,102.0,467.0,95.0,1.0,86.0,271.0,5.0,5.0,271.0
-119.86056501153337,36.910868548201734,189.0,128,40,6339.0,367.0,52.0,315.0,117.0,281.0,281.0,107.0,332.0,62.0,0.0,83.0,179.0,1.0,1.0,178.0
-122.03088021221424,38.46472254390355,162.0,115,42,5154.0,314.0,44.0,270.0,90.0,228.0,231.0,90.0,533.0,128.0,0.0,96.0,353.0,4.0,4.0,353.0
-123.45241162096573,39.16856856418492,129.0,77,40,3816.0,236.0,47.0,188.0,79.0,177.0,183.0,79.0,1211.0,236.0,2.0,85.0,689.0,12.0,18.0,689.0
-119.23832601245296,36.945409754861195,163.0,124,38,6933.0,346.0,20.0,325.0,88.0,265.0,265.0,75.0,622.0,115.0,1.0,81.0,328.0,4.0,4.0,320.0
-122.27099930095976,38.9698346770932,156.0,119,40,5811.0,324.0,32.0,292.0,77.0,237.0,237.0,77.0,514.0,115.0,1.0,93.0,329.0,5.0,5.0,329.0
-116.98743477639427,33.65405107324872,170.0,125,43,5666.0,327.0,37.0,290.0,102.0,207.0,253.0,96.0,424.0,81.0,2.0,82.0,236.0,13.0,25.0,232.0
-119.80003042999367,36.73493844814749,190.0,129,40,6330.0,368.0,52.0,316.0,119.0,282.0,282.0,108.0,273.0,51.0,0.0,84.0,149.0,0.0,0.0,146.0
-118.87098039076687,35.56134329950244,181.0,129,39,6872.0,363.0,36.0,326.0,123.0,276.0,282.0,93.0,280.0,52.0,0.0,78.0,151.0,4.0,5.0,127.0
-116.84102283694699,33.757407580442106,176.0,129,42,6066.0,342.0,36.0,306.0,106.0,218.0,264.0,97.0,458.0,84.0,3.0,77.0,250.0,19.0,38.0,222.0
-121.81651880529697,39.672904295726866,179.0,122,37,7007.0,370.0,41.0,328.0,87.0,279.0,279.0,87.0,745.0,164.0,1.0,86.0,458.0,7.0,7.0,458.0
-117.52077814183347,34.0676246431849,193.0,124,42,5867.0,351.0,57.0,294.0,125.0,266.0,278.0,117.0,489.0,104.0,2.0,92.0,310.0,6.0,8.0,275.0
-122.32030773043974,40.120979252186046,171.0,122,36,7134.0,365.0,33.0,331.0,78.0,275.0,275.0,78.0,647.0,134.0,3.0,83.0,381.0,11.0,11.0,381.0
