Longitude,Latitude,geometry,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-123.62818191146353,40.667623151218656,POINT (-123.62818191146353 40.667623151218656),88.0,99,41,4900.0,231.0,-10.0,241.0,26.0,152.0,160.0,26.0,1393.0,256.0,3.0,79.0,745.0,26.0,30.0,745.0
-120.32918019701117,41.93940725638131,POINT (-120.32918019701117 41.93940725638131),88.0,113,32,7842.0,294.0,-52.0,346.0,1.0,209.0,209.0,-10.0,455.0,62.0,12.0,42.0,178.0,36.0,36.0,174.0
-114.17518948678159,34.30266261664817,POINT (-114.17518948678159 34.30266261664817),238.0,126,35,8047.0,423.0,68.0,355.0,131.0,309.0,349.0,131.0,130.0,22.0,1.0,58.0,61.0,3.0,41.0,61.0
-117.33379715974147,35.95022914925856,POINT (-117.33379715974147 35.95022914925856),185.0,121,33,8327.0,380.0,20.0,359.0,88.0,255.0,303.0,74.0,90.0,17.0,1.0,69.0,51.0,5.0,17.0,43.0
-115.73248506449649,33.073949090950215,POINT (-115.73248506449649 33.073949090950215),243.0,136,40,6820.0,424.0,92.0,332.0,153.0,293.0,341.0,153.0,62.0,11.0,0.0,60.0,31.0,1.0,17.0,31.0
-118.89199670017268,35.216489594651,POINT (-118.89199670017268 35.216489594651),204.0,129,40,6673.0,382.0,60.0,321.0,132.0,291.0,301.0,118.0,211.0,35.0,1.0,75.0,106.0,4.0,5.0,100.0
-114.6638435344072,34.925777405585656,POINT (-114.6638435344072 34.925777405585656),245.0,126,34,8457.0,438.0,71.0,367.0,147.0,321.0,362.0,132.0,123.0,19.0,1.0,54.0,55.0,4.0,36.0,50.0
-120.4570028654744,39.19414185854889,POINT (-120.4570028654744 39.19414185854889),66.0,123,37,6802.0,251.0,-74.0,325.0,-21.0,165.0,165.0,-21.0,1643.0,328.0,9.0,80.0,945.0,37.0,37.0,945.0
-124.21676100139254,40.600006722121904,POINT (-124.21676100139254 40.600006722121904),136.0,57,40,3003.0,218.0,76.0,141.0,99.0,172.0,180.0,99.0,1282.0,241.0,3.0,80.0,705.0,21.0,26.0,705.0
-124.052301413825,40.607927098857886,POINT (-124.052301413825 40.607927098857886),115.0,70,41,3576.0,215.0,43.0,171.0,71.0,160.0,168.0,71.0,1690.0,336.0,2.0,85.0,962.0,23.0,26.0,962.0
-118.32136873250825,34.57514383992337,POINT (-118.32136873250825 34.57514383992337),138.0,125,42,5944.0,301.0,4.0,296.0,69.0,215.0,224.0,62.0,351.0,72.0,1.0,89.0,214.0,4.0,10.0,187.0
-116.50887822409683,33.19626945883912,POINT (-116.50887822409683 33.19626945883912),144.0,129,44,5623.0,304.0,12.0,292.0,85.0,181.0,227.0,72.0,397.0,73.0,2.0,76.0,208.0,15.0,37.0,199.0
-121.4314392623805,41.64545141439248,POINT (-121.4314392623805 41.64545141439248),88.0,119,35,7406.0,289.0,-48.0,338.0,4.0,201.0,201.0,-4.0,318.0,45.0,5.0,47.0,129.0,23.0,23.0,128.0
-122.84767595872066,38.92864280335035,POINT (-122.84767595872066 38.92864280335035),133.0,103,41,4900.0,275.0,26.0,249.0,67.0,200.0,201.0,67.0,905.0,196.0,1.0,88.0,557.0,9.0,9.0,557.0
-123.0199155173159,39.83379969409145,POINT (-123.0199155173159 39.83379969409145),95.0,114,40,5742.0,262.0,-21.0,284.0,20.0,172.0,178.0,20.0,1014.0,187.0,2.0,78.0,538.0,18.0,19.0,538.0
-120.67484887254756,38.963010746949344,POINT (-120.67484887254756 38.963010746949344),140.0,122,37,6727.0,324.0,3.0,321.0,53.0,237.0,237.0,53.0,1052.0,217.0,3.0,84.0,626.0,14.0,14.0,626.0
-120.5589705315568,40.466436856575626,POINT (-120.5589705315568 40.466436856575626),88.0,121,34,7705.0,291.0,-59.0,350.0,-10.0,203.0,203.0,-10.0,385.0,68.0,6.0,61.0,197.0,20.0,20.0,197.0
-118.80691570673056,35.18138377137657,POINT (-118.80691570673056 35.18138377137657),204.0,129,39,6716.0,383.0,60.0,322.0,147.0,292.0,302.0,119.0,211.0,36.0,1.0,75.0,104.0,4.0,5.0,100.0
-122.83232471405917,40.032865624504694,POINT (-122.83232471405917 40.032865624504694),66.0,119,40,6009.0,241.0,-55.0,296.0,-10.0,154.0,154.0,-10.0,949.0,188.0,2.0,84.0,537.0,16.0,16.0,537.0
-120.53267222768896,38.968019197257284,POINT (-120.53267222768896 38.968019197257284),96.0,122,38,6682.0,279.0,-41.0,321.0,9.0,193.0,193.0,9.0,1503.0,293.0,7.0,80.0,848.0,29.0,29.0,848.0
-117.01483449178791,33.41788391004703,POINT (-117.01483449178791 33.41788391004703),156.0,119,44,5192.0,303.0,32.0,270.0,96.0,219.0,232.0,89.0,465.0,86.0,2.0,83.0,254.0,13.0,23.0,248.0
-123.709953731789,39.12645463689739,POINT (-123.709953731789 39.12645463689739),136.0,56,40,2904.0,214.0,74.0,140.0,98.0,170.0,177.0,98.0,1194.0,227.0,3.0,84.0,671.0,15.0,25.0,671.0
-115.77579854527282,35.51145522708728,POINT (-115.77579854527282 35.51145522708728),183.0,127,34,8389.0,379.0,11.0,368.0,109.0,256.0,301.0,70.0,183.0,23.0,3.0,43.0,67.0,11.0,64.0,67.0
-116.5040013871558,33.47814272105444,POINT (-116.5040013871558 33.47814272105444),155.0,132,43,6001.0,322.0,16.0,306.0,84.0,196.0,242.0,77.0,270.0,50.0,1.0,70.0,138.0,8.0,38.0,134.0
