Longitude,Latitude,geometry,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-116.00736827278624,33.368177003699095,POINT (-116.00736827278624 33.368177003699095),236.0,135,40,6746.0,416.0,86.0,330.0,148.0,286.0,334.0,148.0,71.0,13.0,0.0,61.0,36.0,1.0,18.0,36.0
-116.1924268099245,34.88578315284353,POINT (-116.1924268099245 34.88578315284353),215.0,131,35,8088.0,410.0,46.0,364.0,124.0,283.0,329.0,106.0,117.0,15.0,1.0,46.0,43.0,4.0,38.0,43.0
-120.64813881456404,40.714528421820404,POINT (-120.64813881456404 40.714528421820404),66.0,121,34,7564.0,267.0,-78.0,345.0,-30.0,179.0,179.0,-30.0,460.0,68.0,9.0,49.0,200.0,29.0,29.0,200.0
-118.27999429958022,36.646645172355655,POINT (-118.27999429958022 36.646645172355655),39.0,117,36,7204.0,219.0,-105.0,324.0,-48.0,136.0,144.0,-52.0,328.0,69.0,4.0,83.0,191.0,13.0,14.0,191.0
-120.45870707210342,34.498598921687076,POINT (-120.45870707210342 34.498598921687076),156.0,60,45,2466.0,229.0,96.0,132.0,127.0,183.0,191.0,126.0,376.0,85.0,0.0,95.0,245.0,1.0,2.0,197.0
-118.59770808326546,37.92996723231777,POINT (-118.59770808326546 37.92996723231777),94.0,119,33,8023.0,289.0,-65.0,355.0,-8.0,178.0,212.0,-8.0,256.0,37.0,10.0,42.0,108.0,35.0,42.0,108.0
-123.13983503428089,40.643928625874835,POINT (-123.13983503428089 40.643928625874835),92.0,116,39,6004.0,265.0,-27.0,292.0,15.0,171.0,181.0,15.0,1186.0,226.0,4.0,83.0,673.0,24.0,26.0,673.0
-122.98094992234375,41.384086348151705,POINT (-122.98094992234375 41.384086348151705),54.0,116,39,6101.0,230.0,-66.0,296.0,-22.0,135.0,145.0,-22.0,859.0,152.0,8.0,72.0,452.0,37.0,42.0,452.0
-122.30994912267823,37.48331549232163,POINT (-122.30994912267823 37.48331549232163),135.0,72,46,2775.0,219.0,63.0,156.0,95.0,171.0,172.0,95.0,570.0,123.0,1.0,89.0,348.0,6.0,6.0,348.0
-119.34957559031031,37.38101975414483,POINT (-119.34957559031031 37.38101975414483),112.0,123,37,6870.0,294.0,-29.0,323.0,27.0,214.0,214.0,26.0,852.0,190.0,2.0,90.0,522.0,10.0,10.0,522.0
-121.88872205130295,41.02080627666248,POINT (-121.88872205130295 41.02080627666248),136.0,122,35,7621.0,339.0,-7.0,347.0,39.0,250.0,250.0,39.0,1074.0,191.0,5.0,74.0,555.0,28.0,28.0,555.0
-115.2217497240523,33.79778990467752,POINT (-115.2217497240523 33.79778990467752),244.0,132,37,7587.0,431.0,82.0,348.0,326.0,306.0,351.0,143.0,81.0,14.0,1.0,56.0,33.0,3.0,33.0,32.0
-120.2720109129389,40.64322572270986,POINT (-120.2720109129389 40.64322572270986),94.0,119,33,7960.0,299.0,-56.0,356.0,-8.0,213.0,213.0,-8.0,248.0,39.0,5.0,51.0,117.0,19.0,19.0,117.0
-120.91754829211727,40.024936149224146,POINT (-120.91754829211727 40.024936149224146),106.0,123,36,7335.0,303.0,-37.0,340.0,11.0,213.0,213.0,11.0,1152.0,221.0,5.0,77.0,624.0,21.0,21.0,624.0
-118.35191264068884,37.193528171734584,POINT (-118.35191264068884 37.193528171734584),124.0,116,33,7985.0,315.0,-31.0,347.0,25.0,213.0,240.0,21.0,228.0,39.0,7.0,59.0,111.0,24.0,26.0,111.0
-121.45865683682081,39.549236441916314,POINT (-121.45865683682081 39.549236441916314),165.0,123,37,6917.0,355.0,28.0,326.0,75.0,265.0,265.0,75.0,1064.0,220.0,1.0,84.0,622.0,9.0,9.0,622.0
-116.01935922106782,32.96025540484844,POINT (-116.01935922106782 32.96025540484844),200.0,135,42,6267.0,373.0,57.0,316.0,119.0,243.0,292.0,119.0,155.0,28.0,1.0,61.0,77.0,4.0,35.0,77.0
-120.10292097330057,39.93577467372745,POINT (-120.10292097330057 39.93577467372745),73.0,122,34,7709.0,273.0,-78.0,352.0,-26.0,187.0,187.0,-26.0,383.0,68.0,8.0,60.0,194.0,26.0,26.0,194.0
-120.42241412939636,34.4858331397305,POINT (-120.42241412939636 34.4858331397305),151.0,62,45,2558.0,226.0,88.0,137.0,121.0,180.0,188.0,119.0,383.0,88.0,0.0,97.0,255.0,1.0,2.0,208.0
-123.75633525345211,41.7205040296156,POINT (-123.75633525345211 41.7205040296156),70.0,90,40,4593.0,202.0,-20.0,222.0,13.0,129.0,138.0,13.0,2409.0,465.0,7.0,84.0,1387.0,40.0,48.0,1387.0
-115.20332516208698,33.82369259401565,POINT (-115.20332516208698 33.82369259401565),244.0,132,37,7596.0,431.0,82.0,348.0,343.0,306.0,351.0,143.0,89.0,15.0,1.0,57.0,36.0,3.0,36.0,34.0
