Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-117.25449254610398,36.35814119830243,146.0,117,32,8309.0,339.0,-17.0,356.0,68.0,217.0,264.0,36.0,142.0,21.0,3.0,51.0,65.0,14.0,36.0,51.0
-116.53486417897153,34.16638573719823,149.0,134,40,6793.0,329.0,0.0,330.0,60.0,201.0,247.0,60.0,240.0,46.0,1.0,72.0,130.0,6.0,33.0,130.0
-120.08194546448244,37.61521807119254,162.0,123,39,6348.0,338.0,28.0,310.0,80.0,255.0,255.0,80.0,663.0,133.0,1.0,84.0,380.0,5.0,5.0,380.0
-120.42872815134159,38.40830203789697,129.0,122,38,6420.0,306.0,-5.0,312.0,46.0,222.0,222.0,46.0,1028.0,192.0,4.0,78.0,548.0,14.0,14.0,548.0
-118.59451575280613,37.111906574525776,25.0,118,36,7073.0,205.0,-117.0,322.0,-56.0,121.0,130.0,-63.0,404.0,76.0,9.0,70.0,217.0,27.0,28.0,207.0
-114.5422033668857,34.533108034911145,220.0,127,35,8005.0,406.0,51.0,354.0,139.0,289.0,331.0,113.0,133.0,20.0,1.0,53.0,53.0,5.0,51.0,45.0
-115.74659566334593,35.17980751176914,174.0,128,35,8114.0,368.0,6.0,361.0,289.0,244.0,289.0,66.0,242.0,37.0,4.0,43.0,105.0,16.0,105.0,64.0
-120.8060509211457,36.682714109100786,140.0,128,45,5126.0,298.0,13.0,285.0,80.0,210.0,211.0,69.0,304.0,56.0,1.0,83.0,166.0,3.0,3.0,159.0
-119.31634518260425,35.966945343522646,199.0,130,40,6629.0,379.0,56.0,323.0,124.0,286.0,296.0,114.0,223.0,43.0,0.0,83.0,122.0,2.0,2.0,116.0
-117.59647176981422,37.220383754330264,165.0,116,31,8761.0,365.0,-4.0,370.0,64.0,238.0,290.0,49.0,105.0,12.0,4.0,26.0,37.0,17.0,26.0,32.0
-121.67427424106333,39.25036543867289,180.0,123,38,6574.0,364.0,46.0,317.0,93.0,273.0,273.0,93.0,532.0,108.0,1.0,85.0,313.0,3.0,3.0,313.0
-117.41093924667591,33.298158567744686,182.0,93,43,4167.0,299.0,84.0,215.0,134.0,231.0,244.0,130.0,310.0,64.0,1.0,90.0,186.0,4.0,5.0,176.0
-117.90955764528465,35.62663877430233,164.0,124,36,7720.0,354.0,9.0,345.0,74.0,226.0,275.0,64.0,118.0,23.0,1.0,80.0,70.0,4.0,13.0,64.0
-122.29556721776792,40.88608880725758,131.0,122,36,7318.0,329.0,-8.0,338.0,37.0,233.0,240.0,37.0,1825.0,360.0,6.0,82.0,1030.0,39.0,39.0,1030.0
-115.87799681863021,34.03012044108392,188.0,133,39,7216.0,373.0,32.0,340.0,92.0,244.0,291.0,92.0,78.0,12.0,0.0,57.0,36.0,1.0,27.0,36.0
-120.7132616205848,38.184464650659685,164.0,122,40,6049.0,336.0,34.0,302.0,84.0,250.0,250.0,84.0,622.0,127.0,1.0,82.0,364.0,7.0,7.0,364.0
-121.9355921002531,40.760958902091886,133.0,122,35,7521.0,334.0,-9.0,344.0,36.0,244.0,244.0,36.0,1235.0,206.0,5.0,69.0,604.0,38.0,38.0,604.0
-120.43959444458655,34.63029466646694,162.0,74,45,2953.0,250.0,88.0,161.0,127.0,196.0,204.0,124.0,355.0,72.0,0.0,92.0,213.0,1.0,2.0,186.0
-121.2229042471266,36.9297257724718,123.0,118,46,4451.0,264.0,9.0,255.0,69.0,179.0,183.0,60.0,412.0,79.0,1.0,85.0,223.0,4.0,5.0,219.0
-123.34469999963781,39.1381721570102,118.0,80,41,3947.0,229.0,33.0,196.0,66.0,168.0,173.0,66.0,1266.0,238.0,2.0,84.0,703.0,13.0,19.0,703.0
-118.05669098342143,35.21985656378581,177.0,128,37,7305.0,363.0,26.0,337.0,92.0,234.0,282.0,82.0,125.0,24.0,1.0,81.0,69.0,4.0,8.0,67.0
-122.28556908368728,38.97374461088181,156.0,119,40,5811.0,324.0,32.0,292.0,77.0,237.0,237.0,77.0,514.0,115.0,1.0,93.0,329.0,5.0,5.0,329.0
-116.99333955902718,33.42251354135191,151.0,120,44,5257.0,300.0,27.0,273.0,85.0,206.0,229.0,84.0,439.0,82.0,2.0,83.0,241.0,12.0,22.0,241.0
-116.6898778405947,33.33557336140468,141.0,128,44,5578.0,300.0,10.0,289.0,78.0,178.0,223.0,70.0,418.0,79.0,2.0,78.0,228.0,15.0,35.0,213.0
-114.80669050793561,34.583313326926934,219.0,128,35,8036.0,408.0,51.0,356.0,233.0,289.0,331.0,112.0,121.0,19.0,1.0,53.0,47.0,5.0,47.0,42.0
-122.57960703265822,40.269902115680026,160.0,121,37,6996.0,352.0,25.0,327.0,70.0,263.0,263.0,70.0,733.0,148.0,3.0,80.0,420.0,17.0,17.0,420.0
-119.64447343323735,34.44997291266704,176.0,95,44,4098.0,294.0,79.0,214.0,128.0,226.0,235.0,124.0,456.0,107.0,0.0,102.0,319.0,1.0,2.0,281.0
-118.25526176536495,37.59761359141822,24.0,118,34,7597.0,211.0,-128.0,339.0,-72.0,55.0,136.0,-73.0,401.0,46.0,19.0,29.0,139.0,61.0,84.0,138.0
-120.79716654304809,37.62031722095121,177.0,124,42,5541.0,341.0,50.0,291.0,102.0,249.0,255.0,102.0,349.0,67.0,1.0,83.0,188.0,4.0,5.0,188.0
-122.33457569498867,37.48825965634479,128.0,70,46,2693.0,208.0,57.0,150.0,89.0,162.0,163.0,89.0,682.0,138.0,1.0,87.0,395.0,8.0,8.0,395.0
-119.771763459154,35.166173400179076,154.0,126,44,5396.0,311.0,25.0,286.0,92.0,224.0,232.0,84.0,194.0,37.0,0.0,84.0,110.0,1.0,2.0,96.0
-122.22180319257122,41.78732644576238,72.0,120,36,6927.0,266.0,-59.0,326.0,-3.0,175.0,177.0,-14.0,547.0,89.0,9.0,58.0,256.0,39.0,39.0,252.0
-118.35055945803701,37.83026520359636,5.0,119,34,7499.0,190.0,-148.0,339.0,-91.0,35.0,115.0,-91.0,321.0,36.0,15.0,27.0,109.0,49.0,70.0,109.0
-120.27686799283863,38.25524400632353,110.0,122,38,6426.0,288.0,-24.0,312.0,28.0,204.0,204.0,28.0,1107.0,221.0,3.0,82.0,622.0,14.0,14.0,622.0
-121.84204173484699,36.263723733118276,147.0,74,48,2614.0,230.0,76.0,153.0,112.0,182.0,182.0,111.0,850.0,182.0,1.0,91.0,499.0,5.0,5.0,499.0
