Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-119.75715264094241,38.01047903827388,73.0,121,38,6656.0,252.0,-65.0,318.0,-10.0,171.0,171.0,-10.0,1089.0,212.0,7.0,78.0,597.0,23.0,23.0,597.0
-118.76476977134176,37.63470588657861,86.0,119,34,7646.0,276.0,-66.0,342.0,-10.0,190.0,199.0,-10.0,383.0,67.0,9.0,66.0,200.0,33.0,33.0,200.0
-116.97554894905474,32.60767580769091,184.0,97,45,4048.0,303.0,86.0,217.0,147.0,230.0,244.0,134.0,281.0,54.0,1.0,87.0,160.0,3.0,5.0,140.0
-118.12358906984858,36.702697820418805,155.0,116,33,8105.0,347.0,-1.0,348.0,60.0,264.0,273.0,50.0,176.0,36.0,3.0,80.0,102.0,9.0,11.0,100.0
-121.5765089529757,39.528273128143425,178.0,123,37,6904.0,367.0,41.0,326.0,88.0,277.0,277.0,88.0,847.0,171.0,1.0,83.0,487.0,7.0,7.0,487.0
-122.97935945321802,39.443134656006436,126.0,109,40,5420.0,282.0,12.0,269.0,54.0,200.0,203.0,54.0,932.0,213.0,1.0,95.0,612.0,9.0,9.0,612.0
-121.96178662768268,40.422783033924105,155.0,122,35,7486.0,355.0,13.0,342.0,59.0,260.0,265.0,59.0,969.0,177.0,4.0,74.0,515.0,26.0,26.0,515.0
-117.57786286787916,37.03493881033907,132.0,116,32,8437.0,327.0,-32.0,359.0,34.0,203.0,253.0,21.0,139.0,19.0,5.0,37.0,56.0,19.0,26.0,51.0
-115.43955643968984,33.51496624670642,204.0,134,39,7104.0,387.0,50.0,336.0,110.0,259.0,305.0,110.0,89.0,13.0,0.0,55.0,38.0,2.0,28.0,38.0
-117.56273925204012,35.67210019043495,195.0,123,34,8139.0,390.0,33.0,356.0,100.0,262.0,311.0,88.0,98.0,20.0,1.0,73.0,57.0,4.0,15.0,46.0
-117.44575427994612,33.539372534728116,167.0,103,43,4609.0,296.0,58.0,238.0,114.0,222.0,235.0,108.0,299.0,63.0,1.0,91.0,188.0,4.0,6.0,165.0
-120.63894241109486,36.090779687710445,127.0,129,45,5063.0,283.0,0.0,282.0,64.0,194.0,197.0,58.0,386.0,80.0,1.0,92.0,230.0,3.0,3.0,227.0
-122.35013884847488,41.22964147745141,78.0,122,37,6962.0,271.0,-57.0,328.0,-10.0,182.0,182.0,-10.0,1545.0,314.0,7.0,83.0,891.0,32.0,32.0,891.0
-122.94491846639224,40.09799079492251,73.0,118,40,5957.0,246.0,-47.0,293.0,-3.0,155.0,159.0,-3.0,987.0,205.0,2.0,84.0,584.0,19.0,19.0,584.0
-120.26307704413001,40.69188251064024,86.0,119,33,7912.0,291.0,-63.0,354.0,-15.0,205.0,205.0,-15.0,289.0,41.0,7.0,45.0,123.0,24.0,24.0,123.0
-120.2270526642248,39.58885267416142,78.0,123,35,7448.0,274.0,-71.0,345.0,-17.0,188.0,188.0,-17.0,576.0,104.0,9.0,67.0,297.0,32.0,32.0,297.0
-121.08138054988329,36.29789382363802,147.0,122,46,4609.0,292.0,29.0,263.0,94.0,207.0,210.0,83.0,408.0,85.0,1.0,91.0,240.0,3.0,3.0,236.0
-117.17362607536016,34.66309336925348,167.0,131,39,7061.0,350.0,14.0,335.0,84.0,222.0,268.0,74.0,164.0,28.0,1.0,63.0,80.0,7.0,23.0,78.0
-119.1513452048665,35.92761881136425,199.0,128,39,6793.0,381.0,55.0,325.0,122.0,299.0,299.0,113.0,274.0,53.0,0.0,83.0,147.0,2.0,2.0,144.0
-116.50081144301454,34.68368761252431,168.0,132,37,7493.0,357.0,8.0,348.0,68.0,229.0,275.0,68.0,158.0,26.0,1.0,62.0,77.0,4.0,32.0,77.0
-114.61985072055508,33.659858910493384,252.0,130,37,7704.0,437.0,87.0,350.0,360.0,317.0,360.0,149.0,96.0,18.0,1.0,59.0,43.0,3.0,43.0,33.0
-121.41133081324186,40.40333207446814,69.0,122,36,7112.0,263.0,-69.0,332.0,-21.0,174.0,174.0,-21.0,1180.0,221.0,6.0,75.0,635.0,32.0,32.0,635.0
-117.57815779687446,34.08057721512959,192.0,123,42,5819.0,350.0,58.0,291.0,126.0,265.0,277.0,117.0,481.0,104.0,1.0,93.0,307.0,4.0,7.0,275.0
-120.71379882512659,41.91692687042501,76.0,114,33,7539.0,279.0,-59.0,338.0,-6.0,193.0,193.0,-17.0,485.0,70.0,13.0,43.0,199.0,40.0,40.0,183.0
-123.52298717616705,41.20101529269779,100.0,104,40,5332.0,254.0,-5.0,259.0,33.0,169.0,179.0,33.0,1224.0,209.0,5.0,71.0,623.0,32.0,43.0,623.0
-123.40220900955015,39.92184608314268,132.0,105,40,5318.0,285.0,24.0,261.0,63.0,202.0,209.0,63.0,1180.0,237.0,2.0,84.0,683.0,14.0,21.0,683.0
-114.67365024475748,34.00324466278337,236.0,129,36,7787.0,421.0,71.0,350.0,345.0,302.0,345.0,132.0,113.0,19.0,1.0,53.0,46.0,4.0,46.0,37.0
-115.8161351982283,32.69325534767468,230.0,137,42,6461.0,407.0,84.0,323.0,146.0,276.0,325.0,146.0,114.0,19.0,1.0,61.0,55.0,3.0,28.0,55.0
-118.67629519239333,37.19140310648289,-6.0,118,37,6849.0,170.0,-147.0,318.0,-85.0,92.0,95.0,-92.0,576.0,97.0,14.0,62.0,283.0,44.0,44.0,271.0
-118.41029021415143,35.07481028090075,125.0,129,40,6598.0,302.0,-15.0,317.0,42.0,212.0,221.0,41.0,254.0,52.0,1.0,88.0,148.0,3.0,7.0,147.0
-119.26126165732677,36.90460345544945,181.0,124,38,6943.0,365.0,39.0,326.0,95.0,284.0,284.0,94.0,516.0,104.0,1.0,85.0,290.0,3.0,3.0,290.0
-118.0217789593412,35.8926553501832,99.0,122,36,7393.0,283.0,-50.0,334.0,13.0,157.0,206.0,3.0,200.0,40.0,2.0,81.0,117.0,9.0,17.0,111.0
-119.11435403146231,37.098055957271804,52.0,122,38,6647.0,230.0,-86.0,316.0,-14.0,150.0,150.0,-31.0,910.0,161.0,4.0,76.0,478.0,14.0,14.0,435.0
-118.6063420349449,34.19379162374324,181.0,107,43,4832.0,315.0,68.0,246.0,125.0,241.0,251.0,119.0,368.0,84.0,0.0,98.0,244.0,1.0,3.0,224.0
-115.63917831188428,35.73108555306906,197.0,126,33,8628.0,396.0,22.0,374.0,97.0,273.0,318.0,81.0,200.0,28.0,3.0,47.0,84.0,11.0,62.0,80.0
-117.8323217574525,33.97975078404689,185.0,116,43,5318.0,331.0,61.0,270.0,124.0,251.0,263.0,117.0,497.0,109.0,1.0,94.0,310.0,4.0,5.0,294.0
-120.77861245781207,41.39189774933399,94.0,118,34,7750.0,300.0,-47.0,347.0,6.0,213.0,213.0,-3.0,330.0,41.0,5.0,42.0,121.0,22.0,22.0,121.0
-114.91457549836618,33.68372853048377,242.0,131,37,7589.0,427.0,79.0,347.0,348.0,304.0,348.0,141.0,102.0,20.0,1.0,59.0,47.0,3.0,47.0,31.0
